Var1,Freq
物理化學,72
分析化學,66
有機化學,61
偏微分方程,53
無機化學,53
微分方程,49
數值分析,49
有機合成,43
微分幾何,39
材料化學,37
計算物理,28
分析,27
凝態物理,26
統計,25
生物化學,24
動態系統,24
計算化學,23
數學,23
有機金屬化學,22
泛函分析,22
科學計算,22
代數幾何,21
數學教育,21
生物物理,20
代數,19
圖論,18
數論,18
離散數學,18
藥物化學,18
物理,17
數學物理,17
儀器分析,16
應用數學,16
化學,15
半導體物理,15
機率論,15
有機金屬,14
奈米材料,14
微積分,14
算子理論,14
固態物理,13
理論化學,13
幾何分析,13
超導物理,12
數理統計,12
調和分析,12
機率,12
作業研究,11
流體力學,11
科學教育,11
密碼學,11
電化學,11
生物統計,10
表面化學,10
表面及介面物理,10
表面物理,10
財務數學,10
高能物理實驗,10
理論物理,10
磁性物理,10
生物有機化學,9
生物數學,9
常微分方程,9
粒子物理,9
量子資訊,9
演算法,9
凝體物理,9
環論,9
代數數論,8
生物物理化學,8
生物資訊,8
低溫物理,8
非線性分析,8
高分子化學,8
量子場論,8
數值偏微分方程,8
交換代數,7
光譜學,7
多變量分析,7
存活分析,7
宇宙學,7
固態化學,7
奈米物理,7
物理教育,7
非線性物理,7
計算科學,7
矩陣計算,7
財務工程,7
迴歸分析,7
組合學,7
統計物理與熱力學,7
場論,7
最佳化理論,7
量子化學,7
實驗設計,7
數位學習,7
線性代數,7
凝態物理理論,7
應用機率,7
化學動力學,6
材料物理,6
奈米科技,6
物理有機化學,6
表面科學,6
非線性光學,6
矩陣分析,6
組合數學,6
統計物理,6
普通化學,6
隨機過程,6
天然物化學,5
生物無機化學,5
有機光電材料,5
有機材料,5
奈米科學,5
原子物理,5
矩陣理論,5
理論固態物理,5
統計推論,5
普通化學實驗,5
程式設計,5
影像處理,5
數學教學,5
複雜系統,5
複變函數,5
質譜分析,5
機率統計,5
環境化學,5
工業統計,4
分子生物學,4
天文物理,4
天然物合成,4
代數拓樸,4
可靠度分析,4
生化分析,4
生物有機,4
生物無機,4
光化學,4
光電材料,4
光學,4
有機光化學,4
有機材料化學,4
材料科學,4
貝氏統計,4
弦論,4
界面化學,4
重力理論,4
時間序列,4
高分子,4
高能物理,4
動力系統,4
統計計算,4
富氏分析,4
超導,4
量子光學,4
資料庫系統與資料安全,4
資訊科學,4
雷射,4
電分析化學,4
數理經濟,4
數學建模,4
數學教育與資訊科技,4
數學課程,4
數學學習,4
模糊數學,4
複合材料,4
凝體理論,4
薄膜物理,4
觸媒化學,4
人工智慧,3
大氣化學,3
小波理論,3
不等式,3
不對稱合成,3
中子散射,3
介觀物理,3
分析學,3
分離技術,3
化妝品化學,3
化學工程,3
化學生物學,3
化學物理,3
化學教育,3
反問題,3
反應動力學,3
天文學,3
天文學及天文物理學,3
毛細管電泳,3
代數組合學,3
半導體物理實驗,3
生命科學,3
生物分析化學,3
生物技術,3
生物感測器,3
生物質譜學,3
生醫光電,3
生醫材料,3
光電物理,3
有機光譜分析,3
自旋電子學,3
材料分析,3
固體力學,3
奈米技術,3
弦理論,3
拓撲學,3
拓樸,3
物理化學實驗,3
物理教學,3
物理數學,3
非線性偏微分方程,3
非線性動力學,3
計算代數,3
計算流體力學,3
計算理論,3
計算機科學,3
原子核物理,3
原子與分子物理,3
核磁共振,3
真空技術,3
配位化學,3
高分子合成,3
理論高能物理,3
統計分析,3
統計學,3
軟凝態物理,3
程式語言與編譯系統,3
結晶學,3
超分子化學,3
量子傳輸,3
資料分析,3
資料探勘,3
資訊教育,3
雷射化學,3
雷射物理,3
電腦網路,3
實變分析,3
演算法與計算理論,3
線性模式,3
複變函數論,3
質譜學,3
凝聚態物理,3
機器學習,3
隨機分析,3
優化理論,3
應用統計,3
醣化學,3
藥物設計與合成,3
類神經網路,3
X-光結晶學,2
人工智慧與專家系統,2
大氣電學,2
小波分析,2
工程數學,2
中子與X光繞射,2
分子光譜,2
分子束磊晶,2
分子物理,2
分歧理論,2
化學生物,2
化學—生物化學,2
化學數學,2
天然物成份,2
太陽能電池,2
代數學,2
半導體雷射,2
古典分析,2
可積系統,2
平行計算,2
生化藥理,2
生物力學,2
生物材料,2
生理學,2
生醫感測,2
石墨烯,2
光學材料及元件,2
光學設計,2
光譜分析,2
同步輻射,2
地球科學,2
宇宙論,2
有限元素法,2
有機分析,2
有機化學及材料化學,2
有機化學實驗,2
有機光譜,2
有機金屬化合物之合成與反應,2
行銷管理,2
免疫學,2
冷原子物理,2
李群與李代數,2
決策理論,2
辛幾何,2
固態物理實驗,2
固態核磁共振,2
奈米光電,2
奈米結構,2
拉曼散射,2
拓樸學,2
物理—數學物理,2
空間統計,2
表面物理及磁性物理,2
表現理論,2
近似理論,2
近環,2
金屬簇化學,2
非平滑分析,2
品質管制,2
流體力學計算,2
科學教學與學習,2
科學學習,2
計算生物,2
計算幾何,2
計算數學,2
原子分子光學,2
原子分子光譜,2
原子分子物理,2
核子物理,2
特殊函數,2
矩陣論,2
神經網路,2
訊號處理,2
高分子物理,2
高能物理與場論,2
高等微積分,2
高層大氣學,2
高壓物理,2
商管類—統計方法,2
國民小學數學教材教法,2
基本粒子現象學,2
基礎數學,2
排隊理論,2
控制理論,2
液晶光學,2
液晶材料,2
液晶物理,2
液晶物理與光學,2
液晶顯示器,2
理論計算,2
理論計算化學,2
理論原子物理,2
理論量子光學,2
理論凝體物理,2
組合設計,2
組合最優化,2
統計力學,2
統計及應用,2
統計資料分析,2
統計學習,2
統計諮詢,2
蛋白質工程,2
蛋白質體學,2
軟物質,2
陶瓷材料,2
場論及粒子物理,2
幾何,2
幾何學,2
普物實驗教學,2
普通生物學,2
最優分割,2
最優化理論,2
無母數迴歸,2
無母數迴歸分析,2
無機合成及反應,2
紫質化學,2
超快光學,2
超快雷射光譜,2
超晶格物理,2
超導體物理,2
量子元件,2
雲端運算,2
催化反應,2
微波化學,2
新藥開發,2
群試理論,2
解析數論,2
資料庫系統,2
資料結構,2
資訊工程—計算機網路,2
資訊安全,2
資訊系統,2
資訊融入教學,2
遊戲程式設計,2
運籌學,2
遍歷論,2
雷射技術,2
電池材料,2
電波天文學,2
電腦輔助學習與教學,2
電漿物理,2
電離層物理,2
圖形理論,2
圖譜理論,2
實驗凝態物理,2
對局理論,2
對局論,2
磁性,2
磁物理,2
算子代數,2
算術幾何,2
管理數學,2
網頁設計,2
酵素化學,2
酵素學,2
儀器分析化學,2
儀器分析實驗,2
數值計算,2
數值最佳化,2
數值模擬,2
數理邏輯,2
數學分析,2
數學史,2
數學命題實務,2
數學概念發展,2
數學領域課程設計與教材教法,2
數學模型,2
數學導論,2
數據科學概論,2
模糊理論,2
熱力學,2
編碼學,2
複幾何,2
複變數函數論,2
質譜術,2
凝態物理實驗,2
凝態理論,2
凝態實驗,2
凝體物理實驗,2
機率理論,2
積分方程,2
隨機過程與分佈理論,2
應用化學,2
環境工程,2
