Var1,Freq
行銷管理,549
人力資源管理,482
電子商務,350
管理學,281
策略管理,270
消費者行為,263
財務管理,241
資訊管理,236
企業管理,207
組織行為,199
供應鏈管理,187
專案管理,172
經濟學,161
品質管理,152
知識管理,141
作業研究,137
會計學,137
生產管理,136
程式設計,133
資料探勘,133
統計學,131
顧客關係管理,130
網路行銷,127
科技管理,114
中餐烹調,113
資訊安全,113
企業資源規劃,98
管理資訊系統,95
餐飲管理,91
服務業管理,86
旅館管理,85
投資學,74
研究方法,73
國際企業管理,70
餐旅管理,69
行銷,68
國際禮儀,68
人力資源,67
人工智慧,67
行銷研究,65
系統分析與設計,64
物流管理,64
影像處理,64
人因工程,62
統計分析,61
創新管理,61
生產與作業管理,60
英語教學,60
行銷學,59
飲料調製,59
決策分析,58
軟體工程,58
數位學習,58
醫務管理,58
西餐烹調,57
經營管理,55
作業管理,53
管理會計,51
組織理論,50
創業管理,50
餐飲服務,50
財務會計,48
系統模擬,47
服務管理,45
微積分,45
國際行銷,44
資料庫系統,44
管理,44
觀光行銷,44
公司治理,40
統計,40
企業倫理,39
籃球,39
品牌管理,38
游泳,38
資料庫,38
電腦網路,38
網球,38
績效評估,38
計算機概論,37
產業分析,37
會計,37
決策支援系統,36
資料庫管理,36
演算法,36
生態旅遊,35
服務業行銷,33
商用英文,33
管理科學,33
營養學,33
系統分析,32
組織管理,32
商事法,31
勞資關係,31
數量方法,31
餐旅服務,31
排球,30
類神經網路,30
體育,30
作業系統,29
英文,29
運動管理,29
心理學,28
多變量分析,28
羽球,28
財務報表分析,28
組織理論與管理,28
企業概論,27
休閒農業,27
地理資訊系統,27
服務品質,27
服務品質管理,27
風險管理,27
烘焙,27
數學,27
應用統計,27
民法,26
企業電子化,26
行動商務,26
食品營養,26
國際企業,26
程式語言,26
管理心理學,26
領隊與導遊實務,26
餐旅行銷,26
一般管理,25
公司理財,25
日文,25
休閒管理,25
服務行銷,25
宴會管理,25
健康促進,25
商業智慧,25
零售管理,25
網路安全,25
行銷策略,24
服務科學,24
桌球,24
財務金融,24
電腦軟體應用,24
實驗設計,24
網頁設計,24
醫療資訊,24
公共衛生,23
成本會計,23
行銷企劃,23
金融市場,23
遊程規劃,23
運動生理學,23
工業工程與管理,22
田徑,22
健康體適能,22
菜單設計,22
資料結構,22
網路管理,22
網際網路應用,22
領隊導遊實務,22
文化觀光,21
流行病學,21
異國料理,21
創意料理,21
餐旅英文,21
多媒體設計,20
長期照護,20
計算機網路,20
雲端運算,20
飲食文化,20
資訊系統,20
管理數學,20
觀光及旅遊事業管理,20
觀光地理,20
觀光英文,20
工作研究,19
分散式系統,19
生產排程,19
決策科學,19
財務分析,19
健康管理,19
經濟分析,19
資料庫管理系統,19
機器學習,19
環境教育,19
中式點心,18
公共關係,18
日本料理,18
生物統計,18
有氧舞蹈,18
旅行業經營管理,18
財務,18
高爾夫,18
策略行銷,18
醫療資訊管理,18
ERP,17
人力資源發展,17
人際關係,17
休閒遊憩,17
全面品質管理,17
多媒體應用,17
食品加工,17
旅館經營管理,17
國文,17
設施規劃,17
運動觀光,17
電腦繪圖,17
模糊理論,17
餐旅人力資源管理,17
體適能,17
觀光英語,17
中式麵食,16
中餐,16
市場調查,16
社區營造,16
績效管理,16
醫院管理,16
觀光,16
觀光學,16
生物資訊,15
西點烘焙,15
高爾夫球,15
國際金融,15
國際貿易,15
教育訓練,15
產業經濟,15
都市計畫,15
運動休閒管理,15
運動管理學,15
導覽解說,15
觀光行政與法規,15
中餐烹飪,14
交通工程,14
企業經營管理,14
休閒事業管理,14
多媒體,14
存貨管理,14
物聯網,14
門市服務,14
智慧型運輸系統,14
會計資訊系統,14
經濟,14
資訊系統管理,14
運動心理學,14
運動行銷,14
運輸管理,14
廣告學,14
調酒,14
餐旅服務技術,14
餐旅資訊系統,14
觀光休閒,14
人際關係與溝通,13
工程經濟,13
企業政策,13
多準則決策,13
成本與管理會計,13
足球,13
品質工程,13
衍生性金融商品,13
計量經濟,13
食物製備原理,13
烘焙食品,13
航空運輸,13
航海學,13
財報分析,13
商業套裝軟體,13
商業軟體應用,13
商業談判,13
國際人力資源管理,13
國際行銷管理,13
專家系統,13
無線網路,13
資料分析,13
資料庫系統與資料安全,13
資訊工程,13
資訊安全管理,13
資訊隱藏,13
餐飲行銷,13
職場倫理,13
醫療品質,13
大數據分析,12
日語,12
日語教學,12
生產作業管理,12
企業診斷,12
企管,12
物流,12
品質管制,12
健康保險,12
組織學習,12
軟體專案管理,12
策略規劃,12
資訊技術,12
運輸規劃,12
電腦整合製造,12
網路通訊,12
網際網路,12
衛生政策,12
導遊領隊實務,12
觀光學概論,12
人機介面,11
工業管理,11
中小企業管理,11
中國文學,11
生命教育,11
企業研究方法,11
企業經營,11
多媒體系統,11
行為財務,11
保險學,11
活動企劃,11
食品科學,11
食品衛生與安全,11
航空票務,11
財務計量,11
國際財務管理,11
國際關係,11
飯店管理,11
飲料管理,11
資料採礦,11
資訊教育,11
資訊檢索,11
運動生物力學,11
運輸經濟,11
電子化企業,11
電子商務與網路行銷,11
圖形識別,11
領導統御,11
餐飲成本控制,11
餐飲經營管理,11
醫學資訊,11
關係行銷,11
觀光日語,11
觀光資源規劃,11
觀光管理,11
人機互動,10
民宿經營管理,10
生涯規劃,10
企業社會責任,10
休閒社會學,10
西餐烹飪,10
投資管理,10
供應鏈,10
兩岸關係,10
旅運經營管理,10
財管,10
密碼學,10
理財規劃,10
組織行為學,10
統計資料分析,10
蛋糕裝飾,10
創新與創業管理,10
瑜珈,10
舞蹈,10
撞球,10
數位內容,10
蔬果雕刻,10
憲法,10
環境管理,10
壘球,10
醫療品質管理,10
醫療資訊系統,10
離散數學,10
觀光旅遊,10
人資管理,9
中餐廚藝,9
台灣文學,9
平行處理,9
企業e化,9
休閒教育,9
行政管理,9
房務管理,9
物料管理,9
社會學,9
客戶關係管理,9
英文教學,9
食物學原理,9
俱樂部管理,9
旅行社經營管理,9
旅運管理,9
國際貿易實務,9
組織領導,9
貨幣銀行學,9
通路管理,9
期貨與選擇權,9
資料倉儲,9
資料庫設計,9
資料處理,9
資訊網路,9
運動處方,9
運輸安全,9
團體膳食,9
製造程序,9
廣告管理,9
數位影像處理,9
數學規劃,9
餐旅經營管理,9
餐飲文化,9
環境工程,9
職業倫理,9
護理,9
人力資源管理與發展,8
刀工技術,8
工業工程,8
文化創意產業,8
文字探勘,8
日本文化,8
巧克力製作,8
巨量資料,8
休閒,8
休閒心理學,8
休閒產業分析,8
休閒概論,8
休閒遊憩管理,8
休閒運動,8
休閒運動管理,8
危機管理,8
多媒體通訊,8
成本控制,8
自動控制,8
自然科學,8
行政法,8
行動通訊,8
西式點心,8
西餐,8
西點蛋糕,8
決策理論,8
決策管理,8
法律,8
物件導向技術,8
物流系統,8
知識工程,8
金融機構管理,8
品牌行銷,8
客房管理,8
流通管理,8
計量經濟學,8
重量訓練,8
食物製備,8
食物學,8
食品衛生安全,8
個案研究,8
個體經濟,8
個體經濟學,8
旅行業經營與管理,8
消費者行為分析,8
財務工程,8
啟發式演算法,8
國際物流,8
專利分析,8
情緒管理,8
現代文學,8
創意思考,8
創意思考訓練,8
智慧型系統,8
棒球,8
稅務法規,8
資訊,8
遊程設計規劃,8
運輸工程,8
運籌管理,8
電腦輔助設計與製造,8
精實生產,8
製程能力分析,8
語言學,8
領導學,8
數值分析,8
數理統計,8
餐旅英語,8
餐飲英文,8
餐飲營養學,8
醫療經濟學,8
麵包製作,8
ERP系統,7
人文社會,7
人際溝通,7
工業安全與衛生,7
工業安全衛生,7
不動產估價,7
可靠度工程,7
生物化學,7
生物技術,7
生產及作業管理,7
生態觀光,7
生管,7
休閒產業概論,7
休閒產業管理,7
休閒遊憩概論,7
行銷企劃實務,7
西點,7
系統管理,7
服務創新,7
保齡球,7
客務管理,7
政治學,7
柔性計算,7
俱樂部經營管理,7
倉儲管理,7
宴會料理,7
旅館經營與管理,7
消費者心理學,7
航運管理,7
商業自動化,7
商業管理,7
採購學,7
產業經濟學,7
產業電子化,7
統計製程管制,7
創意管理,7
創新與研發管理,7
智慧型資訊系統,7
雲端計算,7
會展管理,7
會議展覽,7
資訊經濟,7
資訊管理系統,7
運動休閒,7
運動科學,7
電腦動畫,7
電腦視覺,7
電腦輔助教學,7
團體膳食製備,7
管理經濟,7
網路,7
網路應用,7
審計,7
審計學,7
數位行銷,7
衛生教育,7
課程設計,7
質性研究,7
餐旅日文,7
餐旅行銷管理,7
餐飲營養,7
應用數學,7
環境生態,7
臨床營養,7
醫療社會學,7
醫療經濟,7
證券投資,7
麵包,7
顧客行為,7
顧客關係,7
觀光心理學,7
觀光行政法規,7
觀光資源概要,7
RFID,6
土地法,6
中式點心製作,6
中西餐烹調,6
中級會計學,6
公共衛生學,6
世界飲食文化,6
可靠度分析,6
巨量資料分析,6
平面設計,6
幼兒體育,6
民宿經營與管理,6
交通管理,6
企業個案,6
企業策略,6
休閒活動設計,6
休閒產業,6
全球運籌管理,6
地理資訊系統應用,6
