Var1,Freq
建築設計,421
室內設計,254
產品設計,154
平面設計,108
電腦繪圖,101
視覺傳達設計,94
景觀設計,85
都市設計,82
工業設計,76
素描,69
包裝設計,60
網頁設計,59
電腦輔助設計,56
攝影,56
色彩學,52
建築計劃與設計,49
都市計畫,44
廣告設計,43
服裝設計,41
建築,40
影像處理,40
基本設計,39
插畫,38
空間設計,37
電腦動畫,37
多媒體設計,33
設計管理,33
社區營造,32
視覺設計,32
繪畫,32
設計方法,31
模型製作,31
油畫,29
綠建築,29
表現技法,28
虛擬實境,28
人因工程,27
景觀規劃,27
3D動畫,26
互動設計,26
設計素描,26
3D電腦動畫,25
雕塑,25
建築理論,24
展示設計,24
藝術創作,24
地理資訊系統,22
建築構造,22
創意思考,22
數位學習,22
文化創意產業,21
設計史,21
都市理論與都市設計,21
景觀規劃設計,21
程式設計,21
圖學,21
公共藝術,20
美學,20
藝術史,20
建築史,19
設計,19
設計概論,19
通用設計,19
景觀建築,19
編輯設計,19
水彩,18
設計理論,18
視覺傳達,18
機構設計,18
環境規劃,18
建築規劃設計,17
家具設計,17
人因設計,16
建築法規,16
設計繪畫,16
電子商務,16
數位設計,16
都市更新,15
遊戲設計,15
營建管理,15
介面設計,14
多媒體應用,14
建築與室內設計,14
專案管理,14
產品開發,14
設計教育,14
植栽設計,14
品牌規劃,13
建築史及建築理論,13
建築設備,13
設計實務,13
影片製作,13
數位攝影,13
整體造型,13
色彩計畫,12
行銷管理,12
品牌設計,12
商品設計,12
商業攝影,12
電腦多媒體,12
數位影像處理,12
藝術理論,12
2D動畫,11
空間規劃,11
建築計畫,11
建築構法及營造,11
美術設計,11
專題設計,11
造型設計,11
感性工學,11
飾品設計,11
立體裁剪,10
建築物理,10
基地規劃,10
設計企劃,10
設計思考,10
設計美學,10
造形設計,10
裝置藝術,10
髮型設計,10
導演,10
人工智慧,9
文創設計,9
印刷設計,9
多媒體,9
服務設計,9
服裝畫,9
建築施工,9
建築實務,9
建築與都市設計,9
施工圖,9
研究方法,9
珠寶設計,9
動畫設計,9
商品企劃,9
商業設計,9
基礎設計,9
基礎攝影,9
都市計劃,9
插畫設計,9
景觀工程,9
電腦影像處理,9
數位內容,9
複合媒材,9
整體造型設計,9
藝術欣賞,9
3D建模,8
工程管理,8
文化創意,8
文創商品設計,8
古蹟修復,8
多媒體製作,8
社區規劃,8
室內,8
建築材料及性能,8
美容,8
動畫,8
產品企劃,8
傢俱設計,8
創意設計,8
視覺藝術,8
新媒體藝術,8
電腦輔助建築設計,8
電腦輔助繪圖,8
網路行銷,8
數位典藏,8
數位建築,8
數位媒體設計,8
環境視覺設計,8
土地使用及公共設施規劃與分析,7
工藝設計,7
中國文學,7
互動多媒體設計,7
木雕,7
金屬工藝,7
非線性剪輯,7
室內空間設計,7
室內設計史,7
建築工程,7
建築及室內設計,7
建築計畫與設計,7
美姿美儀,7
美髮,7
海報設計,7
彩妝設計,7
設計心理學,7
設計研究,7
造形原理,7
景觀建築設計,7
資訊管理,7
電腦圖學,7
編劇,7
環境心理學,7
3D動畫製作,6
3D電腦繪圖,6
CAD/CAM,6
人機介面,6
互動媒體,6
文化研究,6
平面繪畫,6
生態設計,6
立體造型,6
交通工具設計,6
企業管理,6
色彩計劃,6
形象設計,6
服裝構成,6
服裝構成製作,6
社區總體營造,6
芳香療法,6
室內設計實務,6
建築及都市設計,6
建築表現法,6
建築師實務,6
建築結構,6
動畫製作,6
商品攝影,6
商業空間設計,6
設計基礎,6
設計圖學,6
設計認知,6
都市防災,6
都市規劃,6
照明設計,6
資料庫系統,6
資訊安全,6
電腦輔助工業設計,6
綠色設計,6
廣告學,6
敷地計畫,6
數位建築設計,6
數位音樂,6
數位剪輯,6
複合媒材創作,6
環境控制,6
藝術教育,6
藝術評論,6
攝影學,6
3D列印,5
人機互動設計,5
工程實務,5
工業產品設計,5
互動多媒體,5
互動程式設計,5
分鏡腳本,5
文化創意設計,5
水墨畫,5
古蹟保存,5
平面視覺設計,5
立體造形,5
企業識別設計,5
印刷實務,5
行銷企劃,5
角色設計,5
使用者經驗設計,5
版型設計,5
表現法,5
品牌行銷,5
品牌管理,5
室內裝修工程管理,5
建築物理環境,5
建築空間設計,5
建築規劃與設計,5
建築節能,5
建築管理,5
建築製圖,5
後製特效,5
科技藝術,5
校園規劃,5
消費者行為,5
參與式設計,5
專題製作,5
細部設計,5
設計方法與創意思考,5
設計方法論,5
設計策略,5
軟體工程,5
造形藝術,5
創新設計,5
景觀規劃與設計,5
當代藝術思潮,5
資料結構,5
遊戲企劃,5
遊戲美術設計,5
遊戲製作,5
電腦視覺,5
演算法,5
廣告企劃,5
數位遊戲,5
數位影像設計,5
數位藝術,5
數位藝術創作,5
燈光設計,5
環境規劃與設計,5
擴增實境,5
繪畫創作,5
繪圖,5
藝術鑑賞,5
體適能,5
3D視覺模擬,4
CIS設計,4
人力資源管理,4
人機互動,4
人機介面設計,4
人體彩繪,4
土木工程,4
工藝創作,4
中國美術史,4
互動介面設計,4
互動媒體設計,4
文化地景,4
文化創意產業研究,4
文化資產,4
文化資產保存,4
文創商品開發,4
文創產品設計,4
木材物理,4
水彩畫,4
水墨,4
台灣文學,4
永續設計,4
生活美學,4
生態工程,4
企業識別系統,4
多媒體創作,4
多媒體整合,4
字學,4
行銷學,4
西洋建築史,4
西洋美術史,4
西洋藝術史,4
住宅設計,4
災害管理,4
系統分析,4
使用者經驗,4
服裝製作,4
服飾行銷,4
版畫,4
知識管理,4
社區設計,4
空間分析,4
花藝設計,4
品牌形象設計,4
品牌策略,4
室內空間計畫,4
室內設計規劃,4
室內裝修實務,4
建築規劃,4
建築資訊模型,4
建築歷史與理論,4
指甲彩繪,4
施工估價,4
紀錄片製作,4
美術,4
英文,4
計算機概論,4
計算機網路,4
風險管理,4
展場規劃,4
展演設計,4
展覽策劃,4
書法,4
財務管理,4
商業空間,4
基礎素描,4
基礎造形,4
產品分析,4
產品設計與開發,4
統計分析,4
規劃設計,4
設計表現技法,4
設計專案管理,4
設計意象,4
設計學,4
速寫,4
造型原理,4
造型基礎,4
造園,4
都市再生,4
陶藝,4
陶藝創作,4
創意發想,4
景觀,4
結構設計,4
視覺心理學,4
視覺文化研究,4
視覺藝術創作,4
傳統建築,4
傳播理論,4
當代建築思潮,4
當代藝術,4
