Var1,Freq
鋼琴,120
室內樂,119
聲樂,68
鋼琴演奏,61
素描,52
作曲,49
小提琴,46
油畫,43
書法,31
音樂,28
音樂教育,27
理論作曲,27
大提琴,26
和聲學,26
鋼琴教學,26
水彩,25
美學,25
音樂學,23
水墨,22
音樂理論,22
音樂理論—鍵盤,22
導演,22
中提琴,19
表演,19
專業音樂教育,19
視覺傳達設計,19
歌劇,18
篆刻,18
水墨創作,17
繪畫,17
藝術教育,17
藝術創作,17
小提琴演奏,16
音樂基礎訓練,16
單簧管,16
普通音樂教育,16
合唱,15
長笛,15
指揮,15
音樂史,15
對位法,15
舞台設計,15
版畫,14
美術史,14
電腦音樂,14
複合媒材,14
鋼琴伴奏,14
鋼琴作品研究,14
聲樂演唱,14
西洋音樂史,13
應用音樂,13
中國美術史,12
民族音樂學,12
音樂理論—弦樂,12
雕塑,12
戲劇理論,12
攝影,12
長笛演奏,11
音樂理論—指揮,11
教學,11
燈光設計,11
藝術評論,11
合唱指揮,10
色彩學,10
音樂理論—聲樂,10
樂曲分析,10
藝術理論,10
水墨畫,9
伴奏,9
低音管,9
油畫創作,9
法國號,9
肢體開發,9
管樂作品研究,9
劇場管理,9
藝術概論,9
編劇,8
擊樂演奏,8
繪畫創作,8
藝術鑑賞,8
中國表演學,7
古典吉他,7
曲式學,7
西洋美術史,7
弦樂,7
弦樂作品研究,7
美術理論,7
音樂美學,7
音樂理論—木管,7
音樂理論—作曲,7
電腦繪圖,7
舞台技術,7
編劇學,7
鋼琴伴奏法,7
鋼琴教學法,7
鋼琴演奏與教學,7
擊樂合奏,7
聲樂教學,7
薩克斯風,7
雙簧管,7
藝術行政,7
小號,6
中國音樂史,6
公共藝術,6
伴奏法,6
低音提琴,6
弦樂合奏,6
表演學,6
長號,6
美術創作,6
音樂分析,6
音樂欣賞,6
國民小學教學實習,6
排演,6
視唱聽寫,6
敲擊樂,6
舞蹈創作,6
樂團指揮,6
鋼琴教育,6
鋼琴演奏教學,6
藝術管理,6
大鍵琴,5
中國戲劇理論,5
中提琴演奏,5
水墨畫創作,5
平面設計,5
打擊樂,5
西洋藝術史,5
弦樂教學法,5
音樂治療,5
音樂理論—銅管,5
國畫,5
陶藝,5
單簧管演奏,5
策展,5
裝置藝術,5
管樂室內樂,5
劇本創作,5
數位藝術,5
編曲,5
膠彩,5
膠彩畫,5
導演學,5
鋼琴曲目學,5
戲曲,5
戲曲音樂,5
戲劇史,5
戲劇表演,5
藝術史,5
二胡,4
大提琴演奏,4
小提琴教學,4
小提琴演奏及教學,4
台灣美術史,4
合唱教學,4
低音號,4
性別研究,4
版畫創作,4
長笛教學,4
室內樂演奏及教學,4
指揮學,4
音樂教學法,4
音樂類,4
配器法,4
設計,4
博物館學,4
視覺文化研究,4
新媒體藝術,4
當代藝術,4
歌劇研究,4
演員,4
管弦樂指揮,4
管樂合奏,4
舞蹈,4
製作,4
數位影像,4
豎笛,4
歷史音樂學,4
鍵盤和聲,4
藝術歌曲研究,4
人體素描,3
大提琴演奏及教學,3
大鍵琴演奏,3
小提琴演奏與教學,3
中國戲劇史,3
中國藝術史,3
文化研究,3
木笛,3
木管室內樂,3
世界音樂,3
古箏,3
曲,3
西方藝術史,3
西洋戲劇史,3
西洋戲劇理論,3
低音大提琴,3
即興創作,3
服裝設計,3
東方繪畫創作,3
社會音樂教育,3
長笛演奏教學,3
長笛樂曲研討及詮釋分析,3
南管樂,3
室內樂教學,3
室內樂演奏,3
指揮法,3
美術行政,3
音效設計,3
音樂心理學,3
音樂理論—擊樂,3
音樂創作,3
音樂演奏,3
書法史,3
書法創作,3
書畫,3
書畫創作,3
配音,3
接觸即興,3
現代音樂,3
現代舞,3
現代藝術史,3
絃樂教學,3
陶藝創作,3
創作,3
創作性戲劇,3
琵琶,3
視覺設計,3
傳統音樂概論,3
塑造,3
當代藝術思潮,3
電影配樂,3
演奏,3
管弦樂合奏,3
管弦樂作品研習,3
管風琴,3
管絃樂法,3
管絃樂指揮,3
網頁設計,3
臺灣戲劇,3
舞台表演,3
舞臺技術,3
語韻學,3
劇本分析,3
劇場技術,3
劇場實務,3
影像表演,3
德文語韻,3
樂團訓練,3
錄音,3
雕塑創作,3
爵士音樂,3
爵士樂,3
總譜視奏,3
聲音訓練,3
聲樂室內樂,3
