Var1,Freq
芭蕾舞教學與編劇,1
芭蕾編劇,1
表演形式與風格,1
表演訓練,1
青少年休閒行為,1
冒險教育,1
律動,1
急救,1
急診醫學,1
指壓與按摩,1
柔道教學,1
活動主持,1
活動規劃與設計,1
流行舞蹈,1
英文寫作,1
英語會話,1
英語聽力,1
計算機概論,1
重量訓練﹑健力﹑運動訓練法﹑專長訓練﹑撞球,1
重量訓練指導,1
音樂欣賞,1
音樂相關課程,1
音樂剪輯,1
音樂教學工作室,1
音樂理論—作曲,1
音樂理論—銅管,1
音樂理論—鍵盤,1
音樂創作,1
音樂創作與編曲,1
音樂電腦編輯,1
音樂與舞蹈分析,1
音樂製作,1
風帆,1
風險管理,1
飛盤運動,1
個別化教育計畫(IEP)之擬定與執行,1
原住民舞蹈文化研究,1
射箭國家級教練,1
射擊C級教練,1
師資培育,1
書法,1
核心肌群,1
桌球﹑運動選材學﹑運動心理學,1
浮潛,1
海洋休閒遊憩,1
消防相關知識,1
消費行為,1
特殊教育學,1
特殊族群疾病防治,1
特教行政,1
神經生理,1
神經肌肉控制,1
脊椎保健運動,1
訓練生理學,1
訓練學,1
財務管理,1
針灸學—治療學,1
骨骼工程,1
高級人體生理學,1
高等研究法,1
高爾夫球全國冠軍,1
高齡行為研究,1
高齡者復健,1
健走,1
健康科學,1
健康風險,1
健康教育,1
健康管理,1
健康與體育學習領域教材教法,1
健康體育概論,1
動作行為,1
動作技能學習,1
動作協調分析,1
動作控制與協調,1
動作學習,1
動作學習理論,1
唱片製作,1
國民小學健康與體育教材教法,1
國家A級排球教練,1
國家C級排球教練,1
國家級田徑教練證,1
國家級羽球教練,1
國家級足球教練,1
國家級壘球教練,1
國術彈腿,1
國際排球教練,1
國際運動組織策略管理,1
國際運動賽會管理,1
國際標準舞教練,1
國際體育組織現勢,1
國際體育與運動現勢研究,1
國劇身段,1
國劇武功,1
基本武功,1
專長:排球,1
專長訓練,1
專長訓練﹑撞球﹑桌球,1
