R_stu,I_stu,A_stu,S_stu,E_stu,C_stu,R_voc,I_voc,A_voc,S_voc,E_voc,C_,Hitrate,Firstcodepercentage,Twocodespercentage,Decliningrate,Delayrate,StudySuspensionrate,TotalSuspensionrate,Dropoutrate,Dropoutrate_interest,dropoutrateduetointerest,salaryafter3yr_00schyr_master,salaryafter3yr_00schyr_bachelor,emplorateafter3yr_00schyr_master,emplorateafter3yr_00schyr_bachelor,emplorateGrowthratebysch,salarychangesbysch,emplorateGrowthratebysyr,salarychangesbyyr,salary_mas_vs_bach,emplorate_mas_vs_bach
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.033847315,0.028169014,0.016587678,0.071090047,0.014367816,0.014367816,0.00862069,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,1,0,0,0,0,1,1,0,0,6,0.71,0.29,-0.020422912,0.004158004,0.082750746,0.225752703,0.030712531,0.014742015,0.003685504,51172,32392,0.9478,0.8054,-0.0158,1138.75,0.0196,1348,1.579772783,1.176806556
0,0,0,0,0,0,1,1,0,1,0,1,2,0.33,0.33,0.049311391,0.010204082,0.078968903,0.187806874,0.013888889,0.006944444,0.003472222,52934,29565,0.9493,0.9024,-0.0013,410.33,0.017,3105,1.790427871,1.051972518
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.063019114,0.053278689,0.020661157,0.076446281,0.028497409,0.028497409,0.005181347,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
0,0,0,0,1,1,0,0,0,0,1,1,6,0.36,0.36,0.010351934,0.01,0.011950994,0.019140083,0.032154341,0.028938907,0.009646302,47891,35605,0.9136,0.8507,-0.0288,3054.75,0.0033,4175,1.345063896,1.073939109
1,1,0,0,0,1,0,1,0,0,0,1,5,0.45,0.25,-0.078906714,0.020618557,0.030552184,0.076001214,0.054455446,0.051980198,0.02970297,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
1,0,1,1,1,1,0,1,0,1,0,0,1,0.36,0.21,0.015013701,0.036,0.034693878,0.093877551,0.035242291,0.030837004,0.022026432,48323,32744,0.8476,0.8029,-0.0023,-2966,0.0254,2259,1.475781823,1.055673185
1,1,0,0,0,0,1,1,0,0,0,0,6,0.5,0.5,-0.038645315,0.013245033,0.032105277,0.109078573,0.042513863,0.029574861,0.025878004,42666,33459,0.9286,0.8452,-0.0062,-5787.67,0.0273,-11630,1.275172599,1.09867487
1,0,0,1,1,0,1,0,1,1,0,0,4,0.7,0.3,-0.076596291,0.020876827,0.03164557,0.084388186,0.061093248,0.054662379,0.011254019,50942,29458,0.9199,0.8771,0.0126,-249.33,0.0084,1885,1.729309525,1.048797173
0,0,0,0,0,0,0,1,0,1,0,0,4,0.89,0.44,-0.133384582,0.006329114,0.083983452,0.191548463,0.041401274,0.035031847,0.012738854,64152,37278,0.9254,0.8658,0.0022,2351.67,0.0226,2428,1.720907774,1.068838069
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.061922698,0.033613445,0.027310924,0.044117647,0.054744526,0.054744526,0.018248175,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.33,-0.106196581,0.026666667,0.028571429,0.089285714,0.053097345,0.048672566,0.022123894,41235,32106,0.9067,0.6571,0.0225,9128.33,0.024,3242,1.284339376,1.37985086
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.188387636,0.036101083,0.015625,0.048177083,0.037878788,0.03030303,0.003787879,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
1,0,0,1,0,1,1,1,0,0,0,0,3,0.44,0.33,-0.069151895,0.078431373,0.0225,0.07,0.05,0.033333333,0.008333333,49492,38897,0.9571,0.8387,-0.0243,122.67,0.0227,3606,1.272386045,1.14117086
1,1,0,0,0,0,1,1,0,0,0,0,6,0.77,0.69,-0.070799707,0.055555556,0.027548209,0.053719008,0.021374046,0.019847328,0.003053435,60185,36818,0.9085,0.7526,0.03,591.67,0.0165,7399,1.634662393,1.207148552
0,0,0,1,0,1,0,0,1,1,0,0,4,0.86,0.43,-0.091292748,0.006198347,0.078838174,0.169087137,0.041224971,0.034157833,0.004711425,71112,45705,0.9778,0.9024,0.0084,1621.33,-0.0021,1748,1.55589104,1.083554965
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,-0.304197439,0.013736264,0.038904899,0.083573487,0.024630542,0.022167488,0.002463054,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,-0.059488796,0.024509804,0.039877301,0.09406953,0.027707809,0.021410579,0.012594458,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
0,0,0,0,1,1,0,0,0,0,1,1,6,0.65,0.57,-0.15617452,0.026699029,0.011248231,0.022366101,0.004885993,0.004885993,0.003257329,45863,33294,0.9381,0.9083,0.0092,947.33,0.036,3579,1.377515468,1.032808543
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.099447336,0.018018018,0.01824437,0.07529191,0.042763158,0.042763158,0.006578947,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,-0.110234287,0.011952191,0.01688346,0.073080224,0.031746032,0.028571429,0.012698413,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
1,0,0,1,1,0,1,0,1,1,0,0,4,0.7,0.3,-0.075952074,0.078512397,0.034188034,0.096153846,0.020618557,0.020618557,0.007731959,57882,36175,0.9348,0.8765,0.0129,-134.5,0.0014,3413,1.600055287,1.066514546
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.150653898,0.014440433,0.023603618,0.06361737,0.029478458,0.027210884,0.011337868,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,1,0,0,0,0,1,1,0,0,6,0.71,0.29,-0.070657413,0.020440252,0.046623794,0.105305466,0.019264448,0.017513135,0,51172,32392,0.9478,0.8054,-0.0158,1138.75,0.0196,1348,1.579772783,1.176806556
1,1,0,0,0,1,0,1,0,0,0,1,5,0.45,0.25,-0.068734219,0.060941828,0.03125,0.053977273,0.034482759,0.034482759,0.014367816,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
1,1,0,0,0,0,1,1,0,0,0,0,6,0.48,0.44,-0.119709487,0.017647059,0.023411371,0.066889632,0.050802139,0.048128342,0.018716578,52645,32010,0.9564,0.9041,0.0041,-581,0.0112,5193,1.644642299,1.057847583
1,1,0,0,0,0,1,0,0,0,1,1,3,0.43,0.29,-0.070950115,0.051792829,0.023622047,0.094488189,0.032332564,0.032332564,0.009237875,42716,31152,0.9369,0.8844,0.0578,1762.8,0.0017,3280,1.371212121,1.05936228
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,0.018432282,0.034883721,0.052123552,0.088803089,0.025695931,0.025695931,0.00856531,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
0,0,0,1,1,0,0,0,1,0,1,0,4,0.33,0.22,-0.037411569,0.021978022,0.038887292,0.080520414,0.029126214,0.027739251,0.008321775,47778,32551,0.8642,0.823,0.005,-571.5,0.0165,2697,1.467789008,1.050060753
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.018630752,0.055555556,0.031120332,0.058091286,0.016666667,0.016666667,0.00952381,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,0,1,1,1,0,1,0,1,0,0,3,0.59,0.18,-0.048776055,0.005602241,0.062793336,0.119789571,0.027237354,0.027237354,0.003891051,47556,32770,0.9697,0.91,-0.0026,2042.25,0.0043,2519,1.451205371,1.065604396
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,-0.035387614,0.02970297,0.009646302,0.033762058,0.020654045,0.018932874,0.010327022,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
0,0,1,1,0,0,0,0,1,1,0,0,6,0.6,0.3,-0.000487635,0.068100358,0.037401575,0.072834646,0.025263158,0.025263158,0.002105263,66694,39105,0.9654,0.8494,-0.0103,1833.67,0.0132,1961,1.705510804,1.136566988
0,0,0,0,1,1,0,0,0,0,1,1,6,0.62,0.49,-0.063836742,0.038690476,0.024425287,0.061781609,0.02587519,0.02587519,0.00304414,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
0,0,1,1,0,0,0,0,1,1,0,0,6,0.6,0.3,0.025829726,0.01529052,0.028963415,0.0625,0.026865672,0.026865672,0,69915,33950,0.9688,0.9307,-0.0481,2521.67,0.0212,2838,2.059351988,1.040936929
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.131196784,0.032467532,0.019736842,0.067434211,0.025337838,0.025337838,0.006756757,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,-0.115686275,0.01910828,0.015974441,0.041533546,0.029654036,0.029654036,0.011532125,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.093544137,0.023054755,0.01994302,0.051282051,0.028653295,0.028653295,0.004297994,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,1,1,0,0,0,1,1,0,0,5,0.36,0.27,0.005586329,0.05078125,0.052970747,0.087691855,0.049603175,0.049603175,0.01984127,48323,32744,0.8476,0.8029,-0.0023,-2966,0.0254,2259,1.475781823,1.055673185
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.148562186,0.02189781,0.030418251,0.072243346,0.027310924,0.027310924,0.010504202,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
1,1,0,0,0,0,1,1,0,0,0,0,6,0.6,0.6,-0.044750847,0.010050251,0.011627907,0.034883721,0.024793388,0.024793388,0.011019284,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,1,1,0,0,0,0,0,1,1,3,0.28,0.28,0.108594549,0.050691244,0.012605042,0.031512605,0.013157895,0.012061404,0.004385965,42816,29143,0.961,0.8845,-0.0014,899.5,0.0236,2179,1.469169269,1.086489542
0,0,0,0,0,0,0,0,0,0,1,1,4,0.27,0.18,-0.055916632,0.034334764,0.031779661,0.080508475,0.029126214,0.019417476,0.002427184,48340,30802,0.7742,0.8264,0.0129,-882,0.005,2976,1.569378612,0.936834463
0,0,1,1,0,1,0,0,1,1,0,0,5,1,0.67,-0.067848165,0.005012531,0.059193955,0.137279597,0.047722343,0.028199566,0.006507592,50771,31494,0.9266,0.9273,0.0025,-959.25,0.012,1870,1.612084842,0.99924512
0,0,0,0,0,0,0,1,0,1,0,0,4,0.73,0.36,-0.159323116,0.018656716,0.029714657,0.081912817,0.049217002,0.042505593,0.017897092,64152,37278,0.9254,0.8658,0.0022,2351.67,0.0226,2428,1.720907774,1.068838069
0,0,1,1,0,0,1,0,1,0,0,0,4,0.5,0.4,-0.052574618,0.006557377,0.035,0.081666667,0.032828283,0.03030303,0.005050505,42788,29187,0.8111,0.7804,-0.0193,-415.5,0.0161,1938,1.465995135,1.039338801
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,-0.03834442,0.058823529,0.006493506,0.016233766,0.044776119,0.039800995,0.039800995,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,0,0,0,1,0,1,0,4,0.5,0.5,-0.03114148,0.032407407,0.025462963,0.076388889,0.02016129,0.016129032,0.008064516,50582,33165,0.7902,0.6371,0.0067,-772,0.028,1636,1.525162068,1.240307644
0,0,0,1,0,1,0,0,1,1,0,0,4,0.86,0.43,-0.098951647,0,0.042397186,0.16504329,0.070967742,0.032258065,0,71112,45705,0.9778,0.9024,0.0084,1621.33,-0.0021,1748,1.55589104,1.083554965
0,0,0,0,0,0,0,1,0,1,0,0,4,0.89,0.44,-0.072700111,0.031034483,0.010638298,0.037234043,0.04842615,0.026634383,0.007263923,50769,34870,0.9034,0.8677,-0.022,-31.67,0.0166,3035,1.455950674,1.041143252
0,0,0,0,1,1,0,0,0,0,1,1,6,0.62,0.49,0.049870226,0.019685039,0.0078125,0.01171875,0.009195402,0.009195402,0.006896552,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
0,0,1,1,0,0,0,0,1,1,0,0,6,0.6,0.3,-0.040852329,0.017632242,0.039440204,0.13740458,0.045955882,0.033088235,0.005514706,66694,39105,0.9654,0.8494,-0.0103,1833.67,0.0132,1961,1.705510804,1.136566988
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.11332227,0.025641026,0.021052632,0.052631579,0.02266289,0.016997167,0.008498584,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,0,0,0,0,0,1,0,1,0,5,0.35,0.17,-0.082861683,0.019762846,0.041493776,0.10373444,0.043227666,0.040345821,0.011527378,47058,27519,0.9091,0.8548,0.0495,-7753.5,-0.001,-1161,1.710018533,1.063523631
0,0,0,0,0,0,0,0,1,1,0,0,4,0.5,0.5,-0.043157613,0.024193548,0.031598513,0.087360595,0.051282051,0.036630037,0.003663004,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
1,0,0,1,1,0,1,0,1,1,0,0,4,0.7,0.3,-0.090853084,0.036363636,0.034274194,0.090725806,0.057831325,0.05060241,0.01686747,57882,36175,0.9348,0.8765,0.0129,-134.5,0.0014,3413,1.600055287,1.066514546
0,0,1,0,1,1,0,0,0,0,1,1,5,0.33,0.27,-0.061625843,0.041558442,0.031847134,0.075796178,0.034482759,0.027754415,0.015979815,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
0,0,0,1,1,0,0,0,1,0,1,0,4,0.33,0.22,-0.11985918,0.047229791,0.021276596,0.066604995,0.026842105,0.020526316,0.006315789,47778,32551,0.8642,0.823,0.005,-571.5,0.0165,2697,1.467789008,1.050060753
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.15028126,0.041107383,0.025133694,0.061313635,0.024215247,0.01838565,0.004932735,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
0,0,1,1,1,1,0,0,0,0,1,1,4,0.36,0.21,-0.001938153,0.03358209,0.047407407,0.101481481,0.022181146,0.018484288,0.007393715,74074,34554,0.8597,0.6386,0.0225,-59,0.024,4410,2.143717081,1.34622612
0,0,0,1,1,1,0,1,0,1,0,0,3,0.59,0.18,-0.046852609,0.039534884,0.055045872,0.119266055,0.022972973,0.016216216,0.002702703,47556,32770,0.9697,0.91,-0.0026,2042.25,0.0043,2519,1.451205371,1.065604396
0,0,1,1,1,0,0,0,1,1,0,0,5,0.39,0.22,-0.125986513,0.038062284,0.035856665,0.104236356,0.041935484,0.029032258,0.003225806,67037,32953,0.9112,0.8466,0.0008,3663.33,0.0062,2950,2.03432161,1.076305221
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,-0.099514423,0.036199095,0.017201835,0.030963303,0.032904149,0.028612303,0.010014306,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
0,1,0,0,1,1,0,0,0,0,1,1,5,0.5,0.31,-0.088497791,0.04178273,0.02451895,0.076472303,0.04296875,0.041015625,0.017578125,51856,32077,0.937,0.866,-0.0051,2340.75,0.0084,4356,1.616610032,1.081986143
0,0,0,0,1,1,0,0,0,0,1,1,6,0.65,0.57,-0.076871637,0.026890756,0.011034483,0.026293103,0.011806375,0.008264463,0.003541913,45863,33294,0.9381,0.9083,0.0092,947.33,0.036,3579,1.377515468,1.032808543
0,0,0,0,1,1,0,0,0,0,1,1,6,0.36,0.36,-0.115494613,0.048452221,0.015936274,0.0421431,0.029991431,0.028277635,0.005998286,47891,35605,0.9136,0.8507,-0.0288,3054.75,0.0033,4175,1.345063896,1.073939109
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.193371339,0.023076923,0.016326531,0.044897959,0.024017467,0.024017467,0.006550218,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,-0.011721133,0.059090909,0.020454545,0.027272727,0.016025641,0.012820513,0.009615385,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,0,0,0,1,1,0,0,6,0.71,0.29,0.009955793,0.019933555,0.087301587,0.111111111,0.02247191,0.014981273,0.007490637,66694,39105,0.9654,0.8494,-0.0103,1833.67,0.0132,1961,1.705510804,1.136566988
0,0,0,0,0,0,0,0,0,0,1,1,4,0.27,0.18,-0.042679543,0.025089606,0.056140351,0.136842105,0.021276596,0.011820331,0.004728132,48340,30802,0.7742,0.8264,0.0129,-882,0.005,2976,1.569378612,0.936834463
0,0,1,1,0,1,0,0,1,1,0,0,5,1,0.67,0.01051078,0.016556291,0.148885611,0.294690265,0.037688442,0.012562814,0.007537688,49013,26541,0.9714,0.9135,-0.028,577.83,0.0162,1182,1.846690027,1.063382594
0,0,1,1,0,0,0,0,1,1,0,0,6,0.88,0.88,-0.12026026,0.039215686,0.046511628,0.111627907,0.04137931,0.020689655,0.013793103,64152,37278,0.9254,0.8658,0.0022,2351.67,0.0226,2428,1.720907774,1.068838069
0,0,0,0,0,0,0,0,0,0,1,1,4,0.27,0.18,-0.057908579,0.017857143,0.069727891,0.088762428,0.01754386,0.00877193,0.005847953,50333,33051,0.9077,0.8102,0.0086,-443.67,-0.011,3290,1.522888869,1.120340657
0,0,1,1,0,0,0,0,1,0,1,0,4,0.5,0.5,-0.131948461,0.009433962,0.055706522,0.138014874,0.033834586,0.011278195,0.003759398,50582,33165,0.7902,0.6371,0.0067,-772,0.028,1636,1.525162068,1.240307644
0,0,0,1,0,1,0,0,1,1,0,0,4,0.86,0.43,-0.207680602,0.013333333,0.083643123,0.146840149,0.044742729,0.029082774,0.008948546,71112,45705,0.9778,0.9024,0.0084,1621.33,-0.0021,1748,1.55589104,1.083554965
0,0,1,1,0,0,0,0,1,1,0,0,6,0.6,0.3,-0.087427155,0.020304569,0.129587156,0.199541284,0.045602606,0.029315961,0.013029316,69915,33950,0.9688,0.9307,-0.0481,2521.67,0.0212,2838,2.059351988,1.040936929
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.122858861,0.004149378,0.054166667,0.089583333,0.037037037,0.026455026,0.021164021,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.126019548,0.045977011,0.027597403,0.056818182,0.021645022,0.021645022,0.008658009,47058,27519,0.9091,0.8548,0.0495,-7753.5,-0.001,-1161,1.710018533,1.063523631
0,0,0,0,0,0,0,0,1,1,0,0,4,0.5,0.5,-0.117340271,0.03236246,0.040752351,0.0830721,0.054054054,0.035135135,0.010810811,64152,37278,0.9254,0.8658,0.0022,2351.67,0.0226,2428,1.720907774,1.068838069
0,0,1,0,0,0,1,0,1,0,0,0,5,0.42,0.21,0.004131781,0.038022814,0.051376147,0.079816514,0.018743109,0.009922822,0.002205072,48340,30802,0.7742,0.8264,0.0129,-882,0.005,2976,1.569378612,0.936834463
0,0,1,1,0,0,1,0,1,0,0,0,4,0.5,0.4,-0.047787558,0.070175439,0.049514563,0.131067961,0.025670945,0.018669778,0.002333722,42788,29187,0.8111,0.7804,-0.0193,-415.5,0.0161,1938,1.465995135,1.039338801
0,0,1,1,0,0,0,0,1,0,1,0,4,0.5,0.5,-0.121973934,0.043927649,0.049519586,0.125989864,0.037735849,0.027122642,0.008254717,50582,33165,0.7902,0.6371,0.0067,-772,0.028,1636,1.525162068,1.240307644
0,0,1,1,0,0,0,0,1,0,1,0,4,0.5,0.5,0.035025174,0.072368421,0.016233766,0.084415584,0.032258065,0.032258065,0.012096774,50582,33165,0.7902,0.6371,0.0067,-772,0.028,1636,1.525162068,1.240307644
0,0,1,0,0,0,0,0,1,0,1,0,5,0.35,0.17,-0.054498225,0.091603053,0.060121221,0.125588224,0.037735849,0.029350105,0.006289308,48340,30802,0.7742,0.8264,0.0129,-882,0.005,2976,1.569378612,0.936834463
0,0,1,1,0,0,0,0,1,0,1,0,4,0.42,0.21,-0.05384376,0.109022556,0.08266129,0.221774194,0.029605263,0.023026316,0,44743,28300,0.8161,0.7935,0.0285,417.8,0.0422,598,1.581024735,1.028481411
0,0,1,1,1,0,1,0,1,1,0,0,4,0.67,0.33,-0.160549513,0.063414634,0.06575838,0.147443935,0.047393365,0.033175355,0.007109005,50516,32518,0.8065,0.7119,-0.0741,-3712.6,0.0173,3261,1.553478074,1.132883832
0,0,1,0,0,0,1,0,1,0,0,0,5,0.42,0.21,-0.033207071,0.1,0.041463415,0.097560976,0.031707317,0.024390244,0.004878049,50516,32518,0.8065,0.7119,-0.0741,-3712.6,0.0173,3261,1.553478074,1.132883832
0,0,1,1,1,0,0,0,1,0,1,0,5,0.5,0.25,0.009221466,0.204,0.042049544,0.138365891,0.021598272,0.012958963,0.002159827,50516,32518,0.8065,0.7119,-0.0741,-3712.6,0.0173,3261,1.553478074,1.132883832
0,0,0,0,0,0,0,0,0,0,1,1,4,0.5,0.5,0.011810572,0.072368421,0.011904762,0.044642857,0.031847134,0.031847134,0.015923567,50942,29458,0.9199,0.8771,0.0126,-249.33,0.0084,1885,1.729309525,1.048797173
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.021983458,0.041208791,0.02,0.051428571,0.021428571,0.02,0.011428571,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,1,0,1,0,0,1,1,0,0,5,1,0.67,-0.103770971,0.008298755,0.054941633,0.153356111,0.042600897,0.015695067,0.002242152,50771,31494,0.9266,0.9273,0.0025,-959.25,0.012,1870,1.612084842,0.99924512
0,0,1,0,1,1,0,0,0,0,1,1,5,0.56,0.44,-0.098334639,0,0.027272727,0.054545455,0.017910448,0.017910448,0.011940299,47778,32551,0.8642,0.823,0.005,-571.5,0.0165,2697,1.467789008,1.050060753
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.001449055,0.061538462,0.011111111,0.057777778,0.023474178,0.023474178,0.014084507,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,0,1,0,1,0,0,1,1,0,0,4,0.86,0.43,0.022755093,0.021201413,0.06294964,0.138489209,0.028169014,0.016431925,0.007042254,71112,45705,0.9778,0.9024,0.0084,1621.33,-0.0021,1748,1.55589104,1.083554965
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,-0.003034991,0.032418953,0.042352941,0.110588235,0.032175032,0.012870013,0.01029601,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
0,0,1,1,0,0,1,0,1,0,0,0,4,0.5,0.4,-0.046743572,0.034220532,0.055824535,0.131803068,0.020979021,0.018648019,0.006993007,44743,28300,0.8161,0.7935,0.0285,417.8,0.0422,598,1.581024735,1.028481411
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.212358642,0.025751073,0.022984369,0.039870424,0.036649215,0.005235602,0.005235602,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.066838193,0.024752475,0.010458839,0.044197031,0.028880866,0.025270758,0.014440433,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.164718149,0.026785714,0.026173147,0.076575369,0.030898876,0.030898876,0.016853933,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,0,0,0,0,1,1,0,1,0,1,2,0.33,0.33,-0.069586869,0.003717472,0.046166014,0.128471381,0.047297297,0.029279279,0.009009009,52934,29565,0.9493,0.9024,-0.0013,410.33,0.017,3105,1.790427871,1.051972518
0,0,1,1,0,0,0,0,1,1,0,0,6,0.71,0.29,-0.018219062,0.010638298,0.045454545,0.086580087,0.021978022,0.013736264,0.013736264,51172,32392,0.9478,0.8054,-0.0158,1138.75,0.0196,1348,1.579772783,1.176806556
1,1,0,0,0,1,0,1,0,0,0,1,5,0.45,0.25,-0.159024065,0.040358744,0.024695122,0.055640244,0.035369775,0.032154341,0.025723473,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
1,0,0,1,1,0,1,0,1,1,0,0,4,0.7,0.3,-0.093530997,0.02745098,0.0399839,0.132557462,0.048843188,0.020565553,0.010282776,57882,36175,0.9348,0.8765,0.0129,-134.5,0.0014,3413,1.600055287,1.066514546
0,0,1,0,0,0,1,0,1,0,0,0,5,0.42,0.21,-0.029686803,0.076923077,0.014218009,0.037914692,0.018957346,0.018957346,0,42368,27967,0.9041,0.8566,-0.0166,-1985.5,-0.0059,2004,1.514928308,1.055451786
0,0,1,1,1,0,0,0,1,1,0,0,5,0.36,0.27,0.074337917,0.042016807,0.055084746,0.125,0.04245283,0.035377358,0.021226415,53843,30796,0.8947,0.7746,0.0677,-8451,0.0178,2329,1.748376413,1.155047767
0,0,1,1,1,0,0,0,0,1,1,0,5,0.39,0.23,-0.057099093,0.074766355,0.052723043,0.073371648,0.031847134,0.025477707,0,47893,35421,0.871,0.8158,0.0626,5752,0.0088,4610,1.352107507,1.067663643
1,1,0,0,0,0,1,0,0,0,1,1,3,0.43,0.29,-0.246127574,0.035502959,0.06116208,0.104994903,0.022247576,0.020536224,0.003993155,42716,31152,0.9369,0.8844,0.0578,1762.8,0.0017,3280,1.371212121,1.05936228
1,1,0,0,0,0,1,1,0,1,0,0,5,0.5,0.5,-0.0934373,0.061946903,0.054455446,0.084158416,0.042372881,0.042372881,0.008474576,46277,31131,0.8857,0.6984,0.0751,-2661.5,0.01,2941,1.486524686,1.268184422
1,1,0,0,0,0,1,1,0,0,0,0,6,0.5,0.5,-0.242382565,0.025700935,0.075903614,0.122891566,0.022608696,0.020869565,0,57012,31724,0.954,0.8142,0.0051,2206.5,0.0373,5487,1.797125205,1.171702284
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,0.006628674,0.063694268,0.06714876,0.091942149,0.014388489,0.011510791,0.001438849,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
1,1,0,0,0,1,0,0,1,1,0,0,1,0.44,0.33,-0.103626838,0.06097561,0.081932773,0.132352941,0.038690476,0.038690476,0.005952381,73629,29759,0.9299,0.8256,-0.0038,-11749.6,-0.0008,7868,2.47417588,1.126332364
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.13920391,0.019292605,0.03277439,0.057926829,0.015477214,0.014617369,0,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
