types,Set,Sch_code,SCHOOL,Dep_code,department,Sch_dep_code,Sch_dep,groupnumber,groupname,groupname_number,subgroupnumber,subgroupname,subgroupname_number,Numofstudents,Numofteachers,Numofgraduates,Country,System,Teacherstudentratio,NumberofFirstgrade,NumberofSecondgrade,NumberofThirdgrade,NumberofFourthgrade,Numberofseniorsandabove,Numberofdelaypeople,Decliningrate,Delayrate,numberofteachers,assistantproratio,lecturersandaboveratio,lecturersandaboverationum,lecturersandabovenum,Pro_vs_AssociateProfessorandLecturer,Averagehoursperweek_rofessors,Averagehoursperweek_associateprofessor,Averagehoursperweek_assistantprofessors,Averagehoursperweek_lecturers,Averagehoursperweek_otherteachers,Graduationscore,Professionalcreditratio,General_commoncreditratio,Graduationprofessionalscore,GraduationGeneralCommonAcademicScores,Graduationinternshipscore,Graduationothergraduationscores,Collegestudentinterestcode,interestcodeR_stu,interestcodeI_stu,interestcodeA_stu,interestcodeS_stu,interestcodeE_stu,interestcodeC_stu,Hollandcode_two,interestcodeR_voc,interestcodeI_voc,interestcodeA_voc,interestcodeS_voc,interestcodeE_voc,interestcodeC_,Hitrate,Hollandcodefirst,Firstcodepercentage,Twocodespercentage,StudySuspensionrate,TotalSuspensionrate,Suspension_academic_interest,studentinSuspension,Suspension_semester,Suspension_semester_academic,Suspension_semester_interest,Suspension_semesterend,Suspension_semesterendr_academic,Suspension_semesterend_interest,Dropoutrate,Dropoutrate_interest,dropoutrateduetointerest,studentindropouts,dropouts,dropouts_academic,dropouts_interest,dropouts_overdue,dropouts_suspension,salaryafter3yr_99schyr_master,salaryafter3yr_99schyr_inservicemaster,salaryafter3yr_99schyr_bachelor,salaryafter3yr_99schyr_academicyear,salaryafter3yr_99schyr_dayspecialist,salaryafter3yr_99schyr_trainingspecialist,salaryafter4yr_99schyr_master,salaryafter4yr_99schyr_inservicemaster,salaryafter4yr_99schyr_bachelor,salaryafter4yr_99schyr_academicyear,salaryafter4yr_99schyr_dayspecialist,salaryafter4yr_99schyr_trainingspecialist,salaryafter3yr_00schyr_master,salaryafter3yr_00schyr_inservicemaster,salaryafter3yr_00schyr_bachelor,salaryafter3yr_00schyr_academicyear,salaryafter3yr_00schyr_dayspecialist,salaryafter3yr_00schyr_trainingspecialist,emplorateafter3yr_99schyr_master,emplorateafter3yr_99schyr_inservicemaster,emplorateafter3yr_99schyr_bachelor,emplorateafter3yr_99schyr_academicyear,emplorateafter3yr_99schyr_dayspecialist,emplorateafter3yr_99schyr_trainingspecialist,emplorateafter4yr_99schyr_master,emplorateafter4yr_99schyr_inservicemaster,emplorateafter4yr_99schyr_bachelor,emplorateafter4yr_99schyr_academicyear,emplorateafter4yr_99schyr_dayspecialist,emplorateafter4yr_99schyr_trainingspecialist,emplorateafter3yr_00schyr_master,emplorateafter3yr_00schyr_inservicemaster,emplorateafter3yr_00schyr_bachelor,emplorateafter3yr_00schyr_academicyear,emplorateafter3yr_00schyr_dayspecialist,emplorateafter3yr_00schyr_trainingspecialist,emplorateGrowthratebysch,salarychangesbysch,emplorateGrowthratebysyr,salarychangesbyyr,Holland_1_code,salary_mas_vs_bach,emplorate_mas_vs_bach
general,public,9,National Sun Yat-Sen University,2322005,Chinese Literature,902322005,Chinese Literature of National Sun Yat-Sen University,13,"Literature, History and Philosophy","13.Literature, History and Philosophy",84,Chinese Language and Literature,84.Chinese Language and Literature,277,19,60,50 Kaohsiung City,general,0.0686,60,60,62,79,11,21,0.102508961,0.075812274,21,0.904761905,0.904761905,19,19,0.777453839,7,0,9.29,0,0,128,0.421875,0.21875,54,28,0,46,AS,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,A,0.36,0.21,0.069805195,0.173701299,0.066558442,616,43,24,0,107,41,0,0.028409091,0.024621212,0.005681818,528,15,3,3,2,5,52.56,80.014,31.029,30.97,,,55.031,81.433,33.926,33.393,,,55.646,78.315,32.146,29.771,,,0.8739,0.9708,0.8268,0.8768,,,0.8889,0.9679,0.8582,0.8949,,,0.8457,0.979,0.8159,0.8427,,,0.0163,0.32625,0.0154,2.303,A,1.731039632,1.036524084
general,public,9,National Sun Yat-Sen University,5311037,Chemistry,905311037,Chemistry of National Sun Yat-Sen University,3,"Mathematical,  Physics and Chemistry","3.Mathematical,  Physics and Chemistry",16,Chemistry,16.Chemistry,331,23,90,50 Kaohsiung City,general,0.0695,102,94,58,57,9,11,-0.159550492,0.033232628,23,1,1,23,23,2.397777778,9,11.58,8,0,0,128,0.5,0.21875,64,28,0,36,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.44,0.44,0.026806112,0.051906245,0.004716981,636,17,3,0,33,3,0,0.032075472,0.024528302,0.011320755,530,17,0,6,2,5,52.891,52.51,33.991,30.158,,,63.253,54.688,38.295,33.707,,,56.995,74.99,34.438,33.117,,,0.9605,1,0.8312,0.7647,,,0.9721,1,0.8528,0.7647,,,0.9652,0.9259,0.8212,0.8947,,,-0.0127,7.4975,0.0083,5.098,I,1.655003194,1.175353142
general,public,9,National Sun Yat-Sen University,2311006,Foreign Languages and Literature,902311006,Foreign Languages and Literature of National Sun Yat-Sen University,12,Foreign Languages,12.Foreign Languages,79,English Literature,79.English Literature,287,21,59,50 Kaohsiung City,general,0.0732,65,59,72,75,2,14,0.056565986,0.048780488,21,0.952380952,1,20,21,0.909301249,9.25,9.4,9.61,11,0,128,0.4453125,0.21875,57,28,0,43,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,0.055555556,0.095959596,0.035353535,594,33,16,1,57,20,1,0.030651341,0.022988506,0.005747126,522,16,1,3,4,4,47.592,68.581,30.313,34.68,25.862,33.818,49.715,70.862,33.103,36.733,27.346,39.109,45.886,70.527,31.111,34.138,25.044,35.446,0.8865,0.9857,0.8462,0.8512,0.462,0.8197,0.8972,0.9786,0.8694,0.8651,0.6645,0.8525,0.8489,0.9728,0.8639,0.8481,0.4773,0.4464,0.0657,0.21767,0.046,2.67,A,1.47491241,0.982636879
general,public,9,National Sun Yat-Sen University,4131021,Business Administration,904131021,Business Administration of National Sun Yat-Sen University,16,Management,16.Management,102,Business Administration,102.Business Administration,704,26,197,50 Kaohsiung City,general,0.0369,191,195,152,122,27,17,-0.132312944,0.024147727,26,1,1,26,26,1.844990548,7.52,11,9.58,0,0,140,0.492857143,0.2,69,28,0,43,ECS,0,0,0,1,1,1,EC,0,0,0,0,1,1,5,E,0.71,0.54,0.039041096,0.088356164,0.00890411,1460,57,7,0,129,13,0,0.025592417,0.019905213,0.002843602,1055,27,2,3,4,12,47.96,99.045,29.887,35.199,24.762,33.925,52.793,105.597,32.632,37.663,27.331,38.15,48.024,96.539,30.451,37.259,28.641,31.935,0.9263,0.9546,0.875,0.9019,0.5993,0.8782,0.9376,0.9485,0.8969,0.9006,0.75,0.9054,0.9222,0.9583,0.8843,0.8802,0.705,0.8591,-0.0123,0.34517,0.034,3.898,E,1.577091064,1.042858758
general,public,9,National Sun Yat-Sen University,7141054,Optoelectronic Engineering,907141054,Optoelectronic Engineering of National Sun Yat-Sen University,2,Engineering,2.Engineering,3,Optoelectronics,3.Optoelectronics,304,14,96,50 Kaohsiung City,general,0.0461,96,96,55,48,5,4,-0.184785354,0.013157895,14,1,1,14,14,1.694615385,11.2,9.83,12,0,0,139,0.489208633,0.201438849,68,28,0,43,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.57,0.57,0.010576306,0.037203183,0.001788909,559,6,0,0,21,1,0,0.027350427,0.025641026,0.003418803,585,16,4,2,1,8,56.046,80.246,30.849,34.305,25.63,33.016,68.887,86.921,35.771,37.564,28.137,34.081,62.298,84.755,31.68,34.913,28.66,37.269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3.24717,0.0223,5.212,I,1.966477273,1.091597874
general,public,9,National Sun Yat-Sen University,7112063,Materials and Optoelectronics,907112063,Materials and Optoelectronics of National Sun Yat-Sen University,2,Engineering,2.Engineering,11,Materials Engineering,11.Materials Engineering,343,19,98,50 Kaohsiung City,general,0.0554,108,105,58,56,14,2,-0.169959861,0.005830904,19,1,1,19,19,1.887280248,6.5,10.75,8.67,0,0,140,0.507142857,0.2,71,28,0,41,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.6,0.6,0.020114943,0.043103448,0,696,14,0,0,30,0,0,0.021786492,0.017429194,0.006535948,459,10,2,3,1,2,56.046,80.246,30.849,34.305,25.63,33.016,68.887,86.921,35.771,37.564,28.137,34.081,62.298,84.755,31.68,34.913,28.66,37.269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3.24717,0.0223,5.212,I,1.966477273,1.091597874
general,public,9,National Sun Yat-Sen University,5331038,Physics,905331038,Physics of National Sun Yat-Sen University,3,"Mathematical,  Physics and Chemistry","3.Mathematical,  Physics and Chemistry",17,Physics,17.Physics,309,21,92,50 Kaohsiung City,general,0.068,101,77,60,52,11,8,-0.197245439,0.025889968,21,1,1,21,21,2.444959444,8.9,11.2,7.63,0,0,128,0.453125,0.21875,58,28,0,42,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.77,0.69,0.038167939,0.066793893,0.005725191,524,20,3,0,35,3,0,0.026132404,0.022648084,0.010452962,574,15,0,6,4,3,57.053,79.256,32.837,,,,70.06,83.133,38.149,,,,60.185,73.918,36.818,,,,0.9362,1,0.7674,,,,0.9525,1,0.8006,,,,0.9085,0.9524,0.7526,,,,0.03,0.59167,0.0165,7.399,I,1.634662393,1.207148552
general,public,9,National Sun Yat-Sen University,3141013,Sociology,903141013,Sociology of National Sun Yat-Sen University,10,Social and Psychology,10.Social and Psychology,67,Sociology,67.Sociology,188,11,37,50 Kaohsiung City,general,0.0585,44,52,40,39,0,13,-0.02465035,0.069148936,11,1,1,11,11,1.384615385,6.9,6.5,9.4,0,0,128,0.265625,0.21875,34,28,0,66,EAS,0,0,1,1,1,0,SA,0,0,1,1,0,0,5,S,0.39,0.22,0.021164021,0.066137566,0.010582011,378,8,1,0,25,4,0,0.04368932,0.029126214,0.004854369,206,9,2,1,2,1,61.633,73.218,31.375,,,,65.024,74.249,35.802,,,,67.037,77.226,32.953,,,,0.9323,0.987,0.8208,,,,0.9139,0.9744,0.8703,,,,0.9112,0.98,0.8466,,,,0.0008,3.66333,0.0062,2.95,S,2.03432161,1.076305221
general,public,9,National Sun Yat-Sen University,4134010,Political Economy,904134010,Political Economy of National Sun Yat-Sen University,15,Law and Politics,15.Law and Politics,100,Political Science,100.Political Science,221,8,41,50 Kaohsiung City,general,0.0362,49,50,52,53,0,17,0.026546311,0.076923077,8,1,1,8,8,1.91047619,11.06,8,9.5,0,0,136,0.367647059,0.205882353,50,28,0,58,ES,0,0,0,1,1,0,EA,0,0,1,0,1,0,4,E,0.33,0.22,0.020930233,0.039534884,0,430,9,0,0,17,0,0,0.013953488,0.011627907,0.004651163,430,6,1,2,0,2,45.02,73.259,34.767,34.288,,,50.19,78.667,39.562,35.613,,,47.891,81.947,35.605,34.11,,,0.8502,0.9357,0.8472,0.92,,,0.8742,0.9007,0.8708,0.9205,,,0.9136,0.9701,0.8507,0.9339,,,-0.0288,3.05475,0.0033,4.175,E,1.345063896,1.073939109
general,public,9,National Sun Yat-Sen University,7122065,Marine Environment and Engineering,907122065,Marine Environment and Engineering of National Sun Yat-Sen University,7,Earth and Environment,7.Earth and Environment,50,Marine Science,50.Marine Science,261,14,57,50 Kaohsiung City,general,0.0536,67,63,62,49,13,7,-0.095083976,0.026819923,14,1,1,14,14,1.643371758,11.42,10.39,12.88,0,0,128,0.5078125,0.21875,65,28,0,35,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.36,0.36,0.055555556,0.148148148,0.025925926,540,30,5,0,80,12,2,0.026946108,0.020958084,0.011976048,334,9,0,4,1,2,43.921,69.413,28.706,31.691,19.107,,50.567,71.502,31.849,34.33,28.171,,44.064,66.51,28.97,33.079,,,0.952,0.9818,0.8982,0.9234,0.8,,0.969,0.9758,0.913,0.9307,1,,0.9532,0.9892,0.8765,0.9439,,,-0.0296,4.58815,0.0466,4.716,I,1.521021747,1.087507131
general,public,9,National Sun Yat-Sen University,7141055,Information Engineering,907141055,Information Engineering of National Sun Yat-Sen University,1,Information,1.Information,1,Information Engineering,1.Information Engineering,457,19,134,50 Kaohsiung City,general,0.0416,133,144,90,70,8,12,-0.171505152,0.026258206,19,1,1,19,19,1.932173913,9.8,11.42,10.5,0,0,135,0.451851852,0.207407407,61,28,0,46,RI,1,1,0,0,0,0,IC,0,1,0,0,0,1,4,I,0.59,0.32,0.035940803,0.068710359,0.017970402,946,34,17,0,65,17,0,0.03196347,0.02283105,0.00456621,876,28,2,4,6,8,56.046,80.246,30.849,34.305,25.63,33.016,68.887,86.921,35.771,37.564,28.137,34.081,62.298,84.755,31.68,34.913,28.66,37.269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3.24717,0.0223,5.212,I,1.966477273,1.091597874
general,public,9,National Sun Yat-Sen University,6131052,Information Management,906131052,Information Management of National Sun Yat-Sen University,16,Management,16.Management,105,Information Management,105.Information Management,424,19,105,50 Kaohsiung City,general,0.0448,127,117,88,71,12,9,-0.173261741,0.021226415,19,1,1,19,19,1.899891186,7.29,9.17,8.19,0,0,135,0.496296296,0.207407407,67,28,0,40,RC,1,0,0,0,0,1,IC,0,1,0,0,0,1,4,I,0.44,0.25,0.030266344,0.069007264,0.008474576,826,25,3,0,57,7,0,0.044585987,0.038216561,0.010615711,471,21,1,5,5,7,60.023,117.472,30.508,37.254,24.435,,64.511,122.025,33.779,39.284,23.196,,60.184,113.98,30.676,39.189,29.713,,0.9451,0.9532,0.8736,0.9101,0.8421,,0.9508,0.9388,0.902,0.905,0.9,,0.9302,0.941,0.8803,0.9071,0.75,,0.0231,0.81,0.0145,2.621,I,1.961924632,1.056685221
general,public,9,National Sun Yat-Sen University,7141053,Electrical Engineering,907141053,Electrical Engineering of National Sun Yat-Sen University,2,Engineering,2.Engineering,2,Electrical Engineering,2.Electrical Engineering,822,34,223,50 Kaohsiung City,general,0.0414,243,240,154,143,19,23,-0.147369195,0.027980535,34,0.970588235,1,33,34,0.886530612,8.5,12.22,11.5,12,0,131,0.503816794,0.213740458,66,28,0,37,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.55,0.46,0.037509436,0.080804964,0.014916097,1609,61,13,3,130,20,4,0.025429116,0.019071837,0.005085823,1573,40,8,8,3,11,56.046,80.246,30.849,34.305,25.63,33.016,68.887,86.921,35.771,37.564,28.137,34.081,62.298,84.755,31.68,34.913,28.66,37.269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3.24717,0.0223,5.212,I,1.966477273,1.091597874
general,public,9,National Sun Yat-Sen University,2152003,Theatre Arts,902152003,Theatre Arts of National Sun Yat-Sen University,9,Art,9.Art,65,Performing Arts,65.Performing Arts,181,9,36,50 Kaohsiung City,general,0.0497,42,40,38,39,0,22,-0.023767753,0.121546961,9,1,1,9,9,1.477170994,5,10.5,10.17,0,0,128,0.4609375,0.21875,59,28,0,41,ASE,0,0,1,1,1,0,EA,0,0,1,0,1,0,5,E,0.5,0.25,0.032967033,0.068681319,0.002747253,364,12,0,1,25,0,1,0.024725275,0.021978022,0.008241758,364,9,0,3,1,4,47.729,65.927,30.066,38.222,,,50.09,68.425,33.713,42.758,,,50.516,60.312,32.518,29.988,35.533,,0.8544,0.875,0.7652,0.7179,,,0.8447,0.875,0.8121,0.75,,,0.8065,1,0.7119,0.8679,1,,-0.0741,-3.7126,0.0173,3.261,E,1.553478074,1.132883832
general,public,9,National Sun Yat-Sen University,7151061,Mechanical and Mechanical Engineering,907151061,Mechanical and Mechanical Engineering of National Sun Yat-Sen University,2,Engineering,2.Engineering,6,Mechanical Engineering,6.Mechanical Engineering,680,26,197,50 Kaohsiung City,general,0.0382,191,204,138,127,8,12,-0.111725576,0.017647059,28,0.928571429,0.928571429,26,26,1.767284992,10.13,9.83,10.86,0,0,140,0.5,0.2,70,28,0,42,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.48,0.44,0.023993808,0.053405573,0.011609907,1292,31,4,1,69,14,1,0.027089783,0.023993808,0.007739938,1292,35,4,10,3,14,49.611,77.363,31.686,32.517,26.761,41.208,60.403,83.51,37.129,35.704,30.302,43.255,52.645,71.059,32.01,32.955,28.949,38.042,0.9521,0.9647,0.9008,0.9215,0.7816,0.8977,0.9692,0.9647,0.9224,0.9335,0.7712,0.9247,0.9564,0.9578,0.9041,0.8924,0.7764,0.907,0.0041,-0.581,0.0112,5.193,I,1.644642299,1.057847583
general,public,9,National Sun Yat-Sen University,5411051,Applied Mathematics,905411051,Applied Mathematics of National Sun Yat-Sen University,3,"Mathematical,  Physics and Chemistry","3.Mathematical,  Physics and Chemistry",15,Mathematics,15.Mathematics,259,17,68,50 Kaohsiung City,general,0.0656,75,71,52,43,3,15,-0.164671963,0.057915058,17,1,1,17,17,1.999,8.32,10.67,9,0,0,128,0.40625,0.21875,52,28,0,48,CRI,1,1,0,0,0,1,CI,0,1,0,0,0,1,5,C,0.45,0.25,0.035743127,0.086384131,0.016359918,489,17,2,0,42,8,0,0.021428571,0.021428571,0.004761905,420,9,3,2,2,2,50.771,82.542,33.096,29.143,,,56.24,84.175,37.087,33.073,,,50.944,81.047,33.268,29.954,,,0.8779,1,0.7982,1,,,0.8725,1,0.8624,1,,,0.9042,1,0.7735,0.5556,,,0.1107,-0.08475,0.0147,3.756,C,1.53132139,1.168972204
general,public,8,National Central University,7321067,Civil Engineering,807321067,Civil Engineering of National Central University,2,Engineering,2.Engineering,8,Civil Engineering,8.Civil Engineering,701,24,211,03 Taoyuan City,general,0.0342,239,203,124,107,14,14,-0.225628984,0.019971469,24,1,1,24,24,1.2992,6.07,9.17,11.5,0,0,100,0.86,0.14,86,14,0,0,RI,1,1,0,0,0,0,"RC,ER",1,0,0,0,1,1,3,R,0.43,0.29,0.028694405,0.078909613,0.027977044,1394,40,13,4,110,25,14,0.033527697,0.032069971,0.00728863,1372,46,8,10,6,20,41.381,73.038,29.929,35.456,22.701,,46.943,72.881,34.227,37.816,27.036,,42.716,73.816,31.152,39.307,24.328,,0.9262,0.9667,0.8849,0.9161,0.7419,,0.9468,0.9625,0.9082,0.9091,0.7179,,0.9369,0.9733,0.8844,0.7808,0.5714,,0.0578,1.7628,0.0017,3.28,R,1.371212121,1.05936228
general,public,8,National Central University,2322006,Chinese Literature,802322006,Chinese Literature of National Central University,13,"Literature, History and Philosophy","13.Literature, History and Philosophy",84,Chinese Language and Literature,84.Chinese Language and Literature,313,18,76,03 Taoyuan City,general,0.0575,70,70,72,65,15,21,-0.022883598,0.067092652,18,0.944444444,1,17,18,0.689457433,6,8.63,8.67,13,0,128,0.671875,0.1953125,86,25,0,17,AS,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,A,0.36,0.21,0.039432177,0.137223975,0.044164038,634,25,10,0,87,26,2,0.031657356,0.031657356,0.005586592,537,17,2,3,2,10,52.56,80.014,31.029,30.97,,,55.031,81.433,33.926,33.393,,,55.646,78.315,32.146,29.771,,,0.8739,0.9708,0.8268,0.8768,,,0.8889,0.9679,0.8582,0.8949,,,0.8457,0.979,0.8159,0.8427,,,0.0163,0.32625,0.0154,2.303,A,1.731039632,1.036524084
general,public,8,National Central University,7111069,Chemical Engineering and Materials Engineering,807111069,Chemical Engineering and Materials Engineering of National Central University,2,Engineering,2.Engineering,10,Chemical Engineering,10.Chemical Engineering,379,20,126,03 Taoyuan City,general,0.0528,127,127,57,62,3,3,-0.154487268,0.007915567,20,1,1,20,20,2.062968516,5.09,7.67,5.67,0,0,128,0.8046875,0.1953125,103,25,0,0,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.56,0.33,0.014469453,0.035369775,0.014469453,622,9,4,0,22,7,2,0.023474178,0.023474178,0.004694836,639,15,2,3,1,9,50.853,58.101,33.872,34.071,27.195,29.845,61.357,63.33,39.091,37.518,29.658,26.175,54.061,63.339,35.251,33.115,25.58,,0.9567,0.9552,0.8894,0.9269,0.6216,0.6,0.964,0.9853,0.9072,0.9236,0.7045,0.8,0.9551,0.9863,0.8842,0.9267,0.4118,,-0.0079,3.2797,0.0558,3.865,I,1.533601884,1.080185478
general,public,8,National Central University,5311035,Chemistry,805311035,Chemistry of National Central University,3,"Mathematical,  Physics and Chemistry","3.Mathematical,  Physics and Chemistry",16,Chemistry,16.Chemistry,315,15,103,03 Taoyuan City,general,0.0476,107,103,50,44,8,3,-0.223982095,0.00952381,15,1,1,15,15,0.823493976,5.8,6.87,15.6,0,0,128,0.6484375,0.1953125,83,25,0,20,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.44,0.44,0.023340796,0.04496405,0.01369863,584,13,5,0,26,8,0,0.029411765,0.029411765,0.003676471,272,8,4,1,0,3,52.891,52.51,33.991,30.158,,,63.253,54.688,38.295,33.707,,,56.995,74.99,34.438,33.117,,,0.9605,1,0.8312,0.7647,,,0.9721,1,0.8528,0.7647,,,0.9652,0.9259,0.8212,0.8947,,,-0.0127,7.4975,0.0083,5.098,I,1.655003194,1.175353142
general,public,8,National Central University,5111031,Life Sciences,805111031,Life Sciences of National Central University,5,Life Sciences,5.Life Sciences,35,Life Sciences,35.Life Sciences,267,13,63,03 Taoyuan City,general,0.0487,72,60,71,43,16,5,-0.125899844,0.018726592,13,1,1,13,13,1.680833333,7.77,11.4,11,0,0,128,0.6171875,0.171875,79,22,0,27,IR,1,1,0,0,0,0,"RI,IR",1,1,0,0,0,0,6,IR,0.33,0.33,0.058422175,0.12196162,0.069343066,548,32,21,1,67,28,10,0.033613445,0.033613445,0.008403361,476,16,2,4,3,7,43.082,69.141,30.943,,,,46.489,72.018,34.384,,,,41.235,97.21,32.106,,,,0.9107,1,0.7207,,,,0.9063,1,0.797,,,,0.9067,1,0.6571,,,,0.0225,9.12833,0.024,3.242,I,1.284339376,1.37985086
general,public,8,National Central University,7193074,Biomedical Science and Engineering,807193074,Biomedical Science and Engineering of National Central University,2,Engineering,2.Engineering,12,Biomedical / Medical Engineering,12.Biomedical / Medical Engineering,65,17,0,03 Taoyuan City,general,0.2615,25,22,18,0,0,0,-0.433939394,0,17,1,1,17,17,1.80823402,6.37,9.32,8.23,0,0,128,0.5234375,0.2109375,67,27,0,34,RI,1,1,0,0,0,0,"IR,RI",1,1,0,0,0,0,6,IR,0.5,0.5,0.030677656,0.043498168,0.044776119,67,2,1,1,3,1,2,0.090909091,0.090909091,0,11,1,0,0,0,1,40.834,80.601,27.437,28.585,,,43.392,86.944,30.728,31.039,,,39.621,53.835,28.972,31.4,,,0.9247,0.9796,0.8175,0.9252,,,0.9312,0.9796,0.8421,0.8598,,,0.9083,0.9636,0.8297,0.8737,,,0.0179,-5.90725,-0.0086,3.662,I,1.367561784,1.094733036
general,public,8,National Central University,7141057,Optoelectronic Science and Engineering,807141057,Optoelectronic Science and Engineering of National Central University,2,Engineering,2.Engineering,3,Optoelectronics,3.Optoelectronics,405,22,129,03 Taoyuan City,general,0.0543,128,121,83,60,10,3,-0.21528184,0.007407407,22,1,1,22,22,1.56,4.25,5.67,6,0,0,128,0.890625,0.109375,114,14,0,0,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.57,0.57,0.035460993,0.086288416,0.031914894,846,30,15,2,73,19,8,0.050653595,0.050653595,0.008169935,612,31,6,5,8,12,56.046,80.246,30.849,34.305,25.63,33.016,68.887,86.921,35.771,37.564,28.137,34.081,62.298,84.755,31.68,34.913,28.66,37.269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3.24717,0.0223,5.212,I,1.966477273,1.091597874
general,public,8,National Central University,5321036,Earth Sciences,805321036,Earth Sciences of National Central University,7,Earth and Environment,7.Earth and Environment,48,"Geology, Earth and Environmental Sciences","48.Geology, Earth and Environmental Sciences",202,17,47,03 Taoyuan City,general,0.0842,89,65,58,49,10,10,-0.177509214,0.04950495,17,1,1,17,17,1.606689735,5.47,7.46,7.67,0,0,116,0.706896552,0.120689655,82,14,0,20,IR,1,1,0,0,0,0,"RI,IR",1,1,0,0,0,0,6,IRS,0.25,0.25,0.047524517,0.090880216,0.02,550,26,7,3,50,8,3,0.023255814,0.020671835,0.005167959,387,9,2,2,0,4,41.476,74,32.894,,,,45.207,73.696,36.935,,,,43.83,81.038,33.686,,,,0.9424,1,0.6792,,,,0.958,1,0.7778,,,,0.9632,1,0.791,,,,-0.0442,3.39467,0.0381,2.489,I,1.301134002,1.217699115
general,public,8,National Central University,5331042,Physics,805331042,Physics of National Central University,3,"Mathematical,  Physics and Chemistry","3.Mathematical,  Physics and Chemistry",17,Physics,17.Physics,358,32,103,03 Taoyuan City,general,0.0894,97,90,72,67,17,15,-0.113869798,0.041899441,32,1,1,32,32,1.808926081,5.88,6.09,6.17,0,0,128,0.546875,0.109375,70,14,0,44,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.77,0.69,0.028328612,0.055240793,0.02266289,706,20,8,1,39,13,3,0.027536232,0.024637681,0.010144928,690,19,2,7,0,8,57.053,79.256,32.837,,,,70.06,83.133,38.149,,,,60.185,73.918,36.818,,,,0.9362,1,0.7674,,,,0.9525,1,0.8006,,,,0.9085,0.9524,0.7526,,,,0.03,0.59167,0.0165,7.399,I,1.634662393,1.207148552
general,public,8,National Central University,3199020,Hakka Language and Social Sciences,803199020,Hakka Language and Social Sciences of National Central University,10,Social and Psychology,10.Social and Psychology,67,Sociology,67.Sociology,139,13,35,03 Taoyuan City,general,0.0935,56,63,64,33,11,1,-0.114500661,0.007194245,13,1,1,13,13,2.164615385,5.07,8,5.5,0,0,128,0.7890625,0.1953125,101,25,2,0,EAS,0,0,1,1,1,0,SA,0,0,1,1,0,0,5,S,0.39,0.22,0.054187192,0.157635468,0.032019704,406,22,5,0,64,13,0,0.060913706,0.050761421,0.010152284,394,24,2,4,4,10,54.67,79.348,33.569,,,,59.356,80.983,36.354,,,,50.769,81.853,34.87,,,,0.9031,0.9193,0.8607,,,,0.9133,0.9141,0.9055,,,,0.9034,0.978,0.8677,,,,-0.022,-0.03167,0.0166,3.035,S,1.455950674,1.041143252
general,public,8,National Central University,2311007,English and American Literature,802311007,English and American Literature of National Central University,12,Foreign Languages,12.Foreign Languages,79,English Literature,79.English Literature,252,18,59,03 Taoyuan City,general,0.0714,64,56,57,63,0,12,-0.000626566,0.047619048,18,1,1,18,18,1.701176471,6.6,6.86,7.5,0,0,128,0.625,0.1953125,80,25,0,23,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,0.023622047,0.051181102,0.029527559,508,12,6,2,26,11,4,0.064,0.064,0.032,125,8,0,4,0,4,47.592,68.581,30.313,34.68,25.862,33.818,49.715,70.862,33.103,36.733,27.346,39.109,45.886,70.527,31.111,34.138,25.044,35.446,0.8865,0.9857,0.8462,0.8512,0.462,0.8197,0.8972,0.9786,0.8694,0.8651,0.6645,0.8525,0.8489,0.9728,0.8639,0.8481,0.4773,0.4464,0.0657,0.21767,0.046,2.67,A,1.47491241,0.982636879
