types,Set,Sch_code,SCHOOL,Dep_code,department,Sch_dep_code,Sch_dep,groupnumber,groupname,groupname_number,subgroupnumber,subgroupname,subgroupname_number,Numofstudents,Numofteachers,Numofgraduates,Country,System,Teacherstudentratio,NumberofFirstgrade,NumberofSecondgrade,NumberofThirdgrade,NumberofFourthgrade,Numberofseniorsandabove,Numberofdelaypeople,Decliningrate,Delayrate,numberofteachers,assistantproratio,lecturersandaboveratio,lecturersandaboverationum,lecturersandabovenum,Pro_vs_AssociateProfessorandLecturer,Averagehoursperweek_rofessors,Averagehoursperweek_associateprofessor,Averagehoursperweek_assistantprofessors,Averagehoursperweek_lecturers,Averagehoursperweek_otherteachers,Graduationscore,Professionalcreditratio,General_commoncreditratio,Graduationprofessionalscore,GraduationGeneralCommonAcademicScores,Graduationinternshipscore,Graduationothergraduationscores,Collegestudentinterestcode,interestcodeR_stu,interestcodeI_stu,interestcodeA_stu,interestcodeS_stu,interestcodeE_stu,interestcodeC_stu,Hollandcode_two,interestcodeR_voc,interestcodeI_voc,interestcodeA_voc,interestcodeS_voc,interestcodeE_voc,interestcodeC_,Hitrate,Hollandcodefirst,Firstcodepercentage,Twocodespercentage,StudySuspensionrate,TotalSuspensionrate,Suspension_academic_interest,studentinSuspension,Suspension_semester,Suspension_semester_academic,Suspension_semester_interest,Suspension_semesterend,Suspension_semesterendr_academic,Suspension_semesterend_interest,Dropoutrate,Dropoutrate_interest,dropoutrateduetointerest,studentindropouts,dropouts,dropouts_academic,dropouts_interest,dropouts_overdue,dropouts_suspension,salaryafter3yr_99schyr_master,salaryafter3yr_99schyr_inservicemaster,salaryafter3yr_99schyr_bachelor,salaryafter3yr_99schyr_academicyear,salaryafter3yr_99schyr_dayspecialist,salaryafter3yr_99schyr_trainingspecialist,salaryafter4yr_99schyr_master,salaryafter4yr_99schyr_inservicemaster,salaryafter4yr_99schyr_bachelor,salaryafter4yr_99schyr_academicyear,salaryafter4yr_99schyr_dayspecialist,salaryafter4yr_99schyr_trainingspecialist,salaryafter3yr_00schyr_master,salaryafter3yr_00schyr_inservicemaster,salaryafter3yr_00schyr_bachelor,salaryafter3yr_00schyr_academicyear,salaryafter3yr_00schyr_dayspecialist,salaryafter3yr_00schyr_trainingspecialist,emplorateafter3yr_99schyr_master,emplorateafter3yr_99schyr_inservicemaster,emplorateafter3yr_99schyr_bachelor,emplorateafter3yr_99schyr_academicyear,emplorateafter3yr_99schyr_dayspecialist,emplorateafter3yr_99schyr_trainingspecialist,emplorateafter4yr_99schyr_master,emplorateafter4yr_99schyr_inservicemaster,emplorateafter4yr_99schyr_bachelor,emplorateafter4yr_99schyr_academicyear,emplorateafter4yr_99schyr_dayspecialist,emplorateafter4yr_99schyr_trainingspecialist,emplorateafter3yr_00schyr_master,emplorateafter3yr_00schyr_inservicemaster,emplorateafter3yr_00schyr_bachelor,emplorateafter3yr_00schyr_academicyear,emplorateafter3yr_00schyr_dayspecialist,emplorateafter3yr_00schyr_trainingspecialist,emplorateGrowthratebysch,salarychangesbysch,emplorateGrowthratebysyr,salarychangesbyyr,Holland_1_code,salary_mas_vs_bach,emplorate_mas_vs_bach
general,public,20,National Donghua University,7112090,Materials Science and Engineering,2007112090,Materials Science and Engineering of National Donghua University,2,Engineering,2.Engineering,11,Materials Engineering,11.Materials Engineering,283,14,69,15 Hualien County,general,0.0495,71,77,56,64,1,14,-0.015121029,0.049469965,14,1,1,14,14,1.470008953,8.78,6.64,10.17,0,0,128,0.5390625,0.2890625,69,37,0,22,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.6,0.6,0.022692138,0.056015656,0.021015762,571,13,4,3,32,4,8,0.021691974,0.021691974,0.013015184,461,10,0,6,2,2,55.751,73.849,33.448,32.002,,,67.793,78.757,37.878,34.716,,,60.601,72.289,34.097,40.096,,,0.9693,0.9844,0.8497,0.8913,,,0.9722,0.9844,0.8726,0.913,,,0.9663,0.9571,0.8288,0.9348,,,0.0019,3.00825,0.0119,6.024,I,1.777311787,1.16590251
general,public,20,National Donghua University,5331072,Physics,2005331072,Physics of National Donghua University,3,"Mathematical,  Physics and Chemistry","3.Mathematical,  Physics and Chemistry",17,Physics,17.Physics,231,16,54,15 Hualien County,general,0.0693,78,74,58,59,7,14,-0.083418963,0.060606061,16,1,1,16,16,2.211707317,10.9,10.77,9.25,0,0,128,0.515625,0.2890625,66,37,0,25,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.77,0.69,0.024822695,0.081560284,0.040780142,564,14,0,9,46,2,21,0.040852575,0.037300178,0.01598579,563,23,0,9,1,11,57.053,79.256,32.837,,,,70.06,83.133,38.149,,,,60.185,73.918,36.818,,,,0.9362,1,0.7674,,,,0.9525,1,0.8006,,,,0.9085,0.9524,0.7526,,,,0.03,0.59167,0.0165,7.399,I,1.634662393,1.207148552
general,public,20,National Donghua University,3141036,Sociology,2003141036,Sociology of National Donghua University,10,Social and Psychology,10.Social and Psychology,67,Sociology,67.Sociology,188,9,43,15 Hualien County,general,0.0479,43,45,47,49,0,4,0.044503088,0.021276596,9,1,1,9,9,1.526919682,6.54,9.76,10.33,0,0,128,0.5390625,0.2890625,69,37,0,22,EAS,0,0,1,1,1,0,SA,0,0,1,1,0,0,5,S,0.39,0.22,0.021390374,0.104278075,0.016042781,374,8,1,0,39,1,5,0.053140097,0.024154589,0.009661836,207,11,1,2,0,2,61.633,73.218,31.375,,,,65.024,74.249,35.802,,,,67.037,77.226,32.953,,,,0.9323,0.987,0.8208,,,,0.9139,0.9744,0.8703,,,,0.9112,0.98,0.8466,,,,0.0008,3.66333,0.0062,2.95,S,2.03432161,1.076305221
general,public,20,National Donghua University,2311029,English and American Literature,2002311029,English and American Literature of National Donghua University,12,Foreign Languages,12.Foreign Languages,79,English Literature,79.English Literature,287,16,60,15 Hualien County,general,0.0557,68,72,63,72,1,12,0.025560224,0.041811847,16,1,1,16,16,1.853043478,9.5,10.81,10.5,0,0,128,0.5390625,0.2890625,69,37,0,22,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,0.053164572,0.133755825,0.030874786,583,31,2,5,78,7,11,0.027522936,0.023853211,0.012844037,545,15,1,7,1,4,47.592,68.581,30.313,34.68,25.862,33.818,49.715,70.862,33.103,36.733,27.346,39.109,45.886,70.527,31.111,34.138,25.044,35.446,0.8865,0.9857,0.8462,0.8512,0.462,0.8197,0.8972,0.9786,0.8694,0.8651,0.6645,0.8525,0.8489,0.9728,0.8639,0.8481,0.4773,0.4464,0.0657,0.21767,0.046,2.67,A,1.47491241,0.982636879
general,public,20,National Donghua University,2151018,Musicology,2002151018,Musicology of National Donghua University,9,Art,9.Art,64,Musicology,64.Musicology,112,11,20,15 Hualien County,general,0.0982,26,19,35,20,0,12,0.048101022,0.107142857,11,1,1,11,11,1.536287733,9.86,13.06,14.57,0,0,136,0.573529412,0.272058824,78,37,0,21,AS,0,0,1,1,0,0,AE,0,0,1,0,1,0,4,A,0.5,0.5,0.044247788,0.123893805,0.017699115,226,10,0,1,28,1,3,0.039548023,0.028248588,0,177,7,0,0,2,3,53.083,74.454,31.875,26.387,,,54.783,74.389,33.807,29.363,,,50.582,70.192,33.165,28.772,,,0.7813,0.9281,0.6571,0.7551,,,0.8318,0.9353,0.681,0.7857,,,0.7902,0.9412,0.6371,0.7264,,,0.0067,-0.772,0.028,1.636,A,1.525162068,1.240307644
general,public,20,National Donghua University,1113013,Special Education,2001113013,Special Education of National Donghua University,14,Education,14.Education,93,Special Education,93.Special Education,175,10,39,15 Hualien County,general,0.0571,53,52,45,46,7,3,-0.043753696,0.017142857,10,1,1,10,10,1.590020229,10.75,11.83,13.83,0,0,128,0.546875,0.2890625,70,37,0,21,SC,0,0,0,1,0,1,SA,0,0,1,1,0,0,4,S,0.86,0.43,0.032828283,0.088383838,0.025252525,396,13,1,5,35,1,9,0.026548673,0.02359882,0.005899705,339,9,2,2,1,3,66.102,76.642,44.859,,,,67.033,77.459,48.356,,,,71.112,75.65,45.705,,,,0.9901,0.9879,0.9274,,,,0.9803,0.9879,0.9308,,,,0.9778,1,0.9024,,,,0.0084,1.62133,-0.0021,1.748,S,1.55589104,1.083554965
general,public,20,National Donghua University,4121061,Finance and Finance,2004121061,Finance and Finance of National Donghua University,17,Finance and Economics,17.Finance and Economics,116,Finance and Finance,116.Finance and Finance,259,10,75,15 Hualien County,general,0.0386,76,70,60,49,0,4,-0.135045948,0.015444015,10,1,1,10,10,1.727665706,11.14,11.84,12.88,0,0,128,0.578125,0.2890625,74,37,0,17,EC,0,0,0,0,1,1,CE,0,0,0,0,1,1,6,C,0.5,0.43,0.017045455,0.035984848,0.009469697,528,9,0,4,19,0,5,0.019553073,0.016759777,0.008379888,358,7,0,3,0,3,49.353,88.168,32.166,36.617,22.887,34.905,57.129,93.077,35.652,38.887,26.317,38.813,47.774,88.512,32.461,34.283,25.377,50.78,0.9234,0.9624,0.864,0.9036,0.587,0.9655,0.9451,0.9624,0.8992,0.895,0.78,0.931,0.9382,0.9705,0.8844,0.9039,0.6071,0.3594,0.0904,2.51517,0.0345,4.297,C,1.471735313,1.060832203
general,public,20,National Donghua University,4131060,International Business,2004131060,International Business of National Donghua University,17,Finance and Economics,17.Finance and Economics,117,International Business,117.International Business,347,14,71,15 Hualien County,general,0.0403,99,120,62,54,0,12,-0.133414793,0.034582133,14,1,1,14,14,1.5,10.65,10.85,14,0,0,128,0.515625,0.2890625,66,37,0,25,EC,0,0,0,0,1,1,EC,0,0,0,0,1,1,6,E,0.62,0.49,0.029224493,0.06334833,0.012345679,648,19,2,4,41,2,6,0.032537961,0.032537961,0.006507592,461,15,0,3,5,7,47.96,99.045,29.887,35.199,24.762,33.925,52.793,105.597,32.632,37.663,27.331,38.15,48.024,96.539,30.451,37.259,28.641,31.935,0.9263,0.9546,0.875,0.9019,0.5993,0.8782,0.9376,0.9485,0.8969,0.9006,0.75,0.9054,0.9222,0.9583,0.8843,0.8802,0.705,0.8591,-0.0123,0.34517,0.034,3.898,E,1.577091064,1.042858758
general,public,20,National Donghua University,1114015,Education Administration and Management,2001114015,Education Administration and Management of National Donghua University,14,Education,14.Education,92,Education,92.Education,268,10,64,15 Hualien County,general,0.0373,70,86,55,49,4,4,-0.080328199,0.014925373,10,1,1,10,10,1.772065955,7.91,9.36,9.31,0,0,128,0.5390625,0.2890625,69,37,0,22,SA,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,S,0.6,0.3,0.054817841,0.158701785,0.009501188,421,19,1,1,62,1,3,0.031007752,0.023255814,0,129,4,0,0,1,2,66.018,87.237,31.545,,,,69.876,88.78,34.659,,,,69.915,88.5,33.95,,,,0.9436,0.9746,0.8085,,,,0.9333,0.9634,0.8936,,,,0.9688,0.9716,0.9307,,,,-0.0481,2.52167,0.0212,2.838,S,2.059351988,1.040936929
general,public,20,National Donghua University,2222042,Ethnic Relations and Culture,2002222042,Ethnic Relations and Culture of National Donghua University,10,Social and Psychology,10.Social and Psychology,69,Humanities / Ethnology,69.Humanities / Ethnology,213,13,46,15 Hualien County,general,0.061,52,43,45,41,16,16,-0.071818061,0.075117371,13,1,1,13,13,2.108108108,8.25,10.25,8.25,0,0,128,0.53125,0.2890625,68,37,0,23,SAE,0,0,1,1,1,0,SE,0,0,0,1,1,0,5,S,0.39,0.23,0.12295082,0.268442623,0.034836066,488,60,4,6,131,7,10,0.068965517,0.056650246,0.014778325,406,28,1,6,10,6,36.71,82.311,33.736,,,,35.083,83.496,31.267,,,,35.223,87.563,34.259,,,,0.95,0.8919,0.8627,,,,0.95,0.8919,0.8039,,,,0.7778,0.913,0.6786,,,,0.1117,1.42933,-0.0196,-0.97,S,1.028138591,1.146183319
